压裂井-压裂段-压窜井,平台,井段键,压窜分类_目标5类,曲线样本ID,验证平台组,outer_fold,Dummy_预测类型,Dummy_P_M1,Dummy_P_M2,Dummy_P_M3,Dummy_P_M4,Dummy_P_M5,Logistic_预测类型,Logistic_P_M1,Logistic_P_M2,Logistic_P_M3,Logistic_P_M4,Logistic_P_M5,RandomForest_预测类型,RandomForest_P_M1,RandomForest_P_M2,RandomForest_P_M3,RandomForest_P_M4,RandomForest_P_M5,XGBoost_预测类型,XGBoost_P_M1,XGBoost_P_M2,XGBoost_P_M3,XGBoost_P_M4,XGBoost_P_M5,NestedSelection_预测类型,NestedSelection_P_M1,NestedSelection_P_M2,NestedSelection_P_M3,NestedSelection_P_M4,NestedSelection_P_M5
泸201H5-1—第1段—泸201H5-3,泸201H5,泸201H5-1 | 第1段,涨幅微弱型,659cd9914c1c4a,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9276502266726704,0.00032308714561594433,0.017454033979999582,0.011630824331493641,0.042941827870220446,涨幅微弱型,0.49376239534497923,0.06698595732512454,0.20783300273751135,0.19164367190071419,0.039774972691670706,涨幅微弱型,0.5606980323791504,0.03443276137113571,0.14119938015937805,0.21756097674369812,0.04610880836844444,涨幅微弱型,0.49376239534497923,0.06698595732512454,0.20783300273751135,0.19164367190071419,0.039774972691670706
泸201H5-1—第1段—泸201H5-4,泸201H5,泸201H5-1 | 第1段,涨幅微弱型,a58a9b8cf7985f,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9372379330836852,0.00013953502089487428,0.010938035448612663,0.007648836208741739,0.04403566023806575,涨幅微弱型,0.49376239534497923,0.06698595732512454,0.20783300273751135,0.19164367190071419,0.039774972691670706,涨幅微弱型,0.5606980323791504,0.03443276137113571,0.14119938015937805,0.21756097674369812,0.04610880836844444,涨幅微弱型,0.49376239534497923,0.06698595732512454,0.20783300273751135,0.19164367190071419,0.039774972691670706
泸201H5-1—第2段—泸201H5-3,泸201H5,泸201H5-1 | 第2段,涨幅微弱型,93e0e70c9d44fe,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9433742008530057,0.0002591759660245554,0.013920531285893937,0.010589450982430816,0.031856640912645035,涨幅微弱型,0.5594053340648762,0.07088824619698322,0.20801718650964818,0.12654004933163068,0.03514918389686137,涨幅微弱型,0.6352244019508362,0.03031761571764946,0.11997343599796295,0.1697029024362564,0.04478159546852112,涨幅微弱型,0.5594053340648762,0.07088824619698322,0.20801718650964818,0.12654004933163068,0.03514918389686137
泸201H5-1—第2段—泸201H5-4,泸201H5,泸201H5-1 | 第2段,涨幅微弱型,620d41ba8d6dba,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9517190826474534,0.00011015143501810202,0.008639782130533883,0.006902728068149725,0.032628255718845055,涨幅微弱型,0.5594053340648762,0.07088824619698322,0.20801718650964818,0.12654004933163068,0.03514918389686137,涨幅微弱型,0.6352244019508362,0.03031761571764946,0.11997343599796295,0.1697029024362564,0.04478159546852112,涨幅微弱型,0.5594053340648762,0.07088824619698322,0.20801718650964818,0.12654004933163068,0.03514918389686137
泸201H5-1—第3段—泸201H5-2,泸201H5,泸201H5-1 | 第3段,渐进上升型,888f69998ab16d,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.8354630341156107,0.007638085966051623,0.08252452467695488,0.049316740671970775,0.025057614569412114,涨幅微弱型,0.5590971505601592,0.07226164322472188,0.20589475450157965,0.12992460982501164,0.032821841888527374,涨幅微弱型,0.5978844165802002,0.03503391146659851,0.14517883956432343,0.17059288918972015,0.05130996182560921,涨幅微弱型,0.5590971505601592,0.07226164322472188,0.20589475450157965,0.12992460982501164,0.032821841888527374
泸201H5-1—第3段—泸201H5-3,泸201H5,泸201H5-1 | 第3段,涨幅微弱型,0dffb8db6e242c,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9451006199793813,0.00030461202188811486,0.014246855500816872,0.010293324797385827,0.030054587700528105,涨幅微弱型,0.5590971505601592,0.07226164322472188,0.20589475450157965,0.12992460982501164,0.032821841888527374,涨幅微弱型,0.6467071175575256,0.03151792660355568,0.12214214354753494,0.15347227454185486,0.04616051912307739,涨幅微弱型,0.5590971505601592,0.07226164322472188,0.20589475450157965,0.12992460982501164,0.032821841888527374
泸201H5-1—第3段—泸201H5-4,泸201H5,泸201H5-1 | 第3段,涨幅微弱型,63d89047d7c5d0,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9536480272919001,0.00012752028995699307,0.00876829364158627,0.006659310881981682,0.030796847894574975,涨幅微弱型,0.5590971505601592,0.07226164322472188,0.20589475450157965,0.12992460982501164,0.032821841888527374,涨幅微弱型,0.6467071175575256,0.03151792660355568,0.12214214354753494,0.15347227454185486,0.04616051912307739,涨幅微弱型,0.5590971505601592,0.07226164322472188,0.20589475450157965,0.12992460982501164,0.032821841888527374
泸201H5-1—第4段—泸201H5-3,泸201H5,泸201H5-1 | 第4段,涨幅微弱型,bd87952a68b701,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.952339214521446,0.0003217624805858856,0.011964512582209898,0.009560268453669599,0.02581424196208875,涨幅微弱型,0.5052780081491954,0.07345956044760624,0.2191848751335544,0.16554465993113482,0.036532896338509105,涨幅微弱型,0.6158608794212341,0.03658028692007065,0.11806852370500565,0.1820676475763321,0.04742267727851868,涨幅微弱型,0.5052780081491954,0.07345956044760624,0.2191848751335544,0.16554465993113482,0.036532896338509105
泸201H5-1—第4段—泸201H5-4,泸201H5,泸201H5-1 | 第4段,涨幅微弱型,472b9c36d68c62,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9600189132127667,0.00013234150287290132,0.007287777264492923,0.006127157304526193,0.026433810715341358,涨幅微弱型,0.5052780081491954,0.07345956044760624,0.2191848751335544,0.16554465993113482,0.036532896338509105,涨幅微弱型,0.6158608794212341,0.03658028692007065,0.11806852370500565,0.1820676475763321,0.04742267727851868,涨幅微弱型,0.5052780081491954,0.07345956044760624,0.2191848751335544,0.16554465993113482,0.036532896338509105
泸201H5-1—第5段—泸201H5-3,泸201H5,泸201H5-1 | 第5段,涨幅微弱型,9b493e1e9b9686,泸201H5,0,涨幅微弱型,0.4598337950138504,0.11634349030470914,0.24238227146814403,0.14265927977839335,0.038781163434903045,涨幅微弱型,0.9447105327741616,0.00042670069804156397,0.015000280962860938,0.011854478152005734,0.028008007412930167,涨幅微弱型,0.5052780081491954,0.07189706044760621,0.22074737513355439,0.16554465993113482,0.036532896338509105,涨幅微弱型,0.616723895072937,0.03808778524398804,0.11823397129774094,0.17946523427963257,0.04748913273215294,涨幅微弱型,0.5052780081491954,0.07189706044760621,0.22074737513355439,0.16554465993113482,0.036532896338509105
