feature,mean_abs_SHAP_margin,platform_equal_mean_abs_SHAP,missing_fraction,M1,M2,M3,M4,M5
重算井距_段中点平面_m,0.24127655544622015,0.214702408799606,0.36515748031496065,0.265375440576463,0.4283241325839034,0.26999746521409623,0.07106023794254925,0.1716255009140889
最小主应力_MPa,0.1837467114475815,0.19654919714673996,0.2106299212598425,0.4024518073690454,0.10110987032855097,0.1426033426274859,0.2186580959645166,0.05391044094830873
水平应力差_MPa,0.1661261246997751,0.17831709332383175,0.20964566929133857,0.25094856223179485,0.24575962326452722,0.19074510903818181,0.0385680946468295,0.10460923431754227
加砂强度_t_m,0.11467488007476749,0.1282032612367528,0.19586614173228348,0.15457449601660667,0.12604967090915375,0.1059694408102687,0.10021674837692508,0.08656404426088328
破裂压力_MPa,0.0877240221405344,0.08605364653263062,0.22933070866141733,0.0762508538974207,0.05158428118377878,0.13983433260928424,0.06702470773896092,0.10392593527322738
孔隙度_pct,0.0859307028447859,0.09900686503774865,0.13976377952755906,0.0918565983760288,0.07232202952988923,0.09724302487709105,0.03607050136272982,0.1321613600781906
含水饱和度_pct,0.07224296465904867,0.07306943474157394,0.1968503937007874,0.09630000593523884,0.04674295567956434,0.020137157110163006,0.08316646683498241,0.11486823773529475
用液强度_m3_m,0.07092042089038662,0.07585957715632548,0.19586614173228348,0.02314979942468743,0.07705301495681895,0.10503295918175626,0.06464970552655373,0.08471662536211674
段长_m,0.06602867387934573,0.05795894089572799,0.15059055118110237,0.011643568313656297,0.0239424827792448,0.0431077863029241,0.0548524432409991,0.19659708875990436
杨氏模量_GPa,0.06592593199932557,0.0678946787336155,0.1545275590551181,0.03348442857216963,0.09026494537577341,0.017533850181810227,0.10757300008839321,0.08077343577848138
排量_m3_min,0.06476480396707725,0.0673886516101575,0.19783464566929135,0.0351947522694685,0.012460638063690051,0.04111768957124345,0.13528988743934223,0.09976105249164201
总有机碳_pct,0.04689334783262292,0.051619450273091685,0.13976377952755906,0.01598117450121781,0.050802814691859405,0.06744698097245991,0.04234431528770016,0.0578914537098773
泊松比,0.033146519758047645,0.031299856730916745,0.13976377952755906,0.04453702882978622,0.03999798907852534,0.01436317573106361,0.02719056375627681,0.039643841394586266
簇数,0.023579910765452437,0.022353052244139974,0.14271653543307086,0.022279555357394072,0.03989342342022675,0.014257634706154931,0.02103335415633023,0.020435586187156195
