group,n,present_classes,macro_F1_present,accuracy
泸203H6,2,1,0.0,0.0
泸203H91,3,2,0.0,0.0
阳101H75,2,2,0.0,0.0
阳101H6,5,2,0.0,0.0
阳101H25,34,5,0.022857142857142857,0.058823529411764705
泸206H8,95,5,0.032722298221614224,0.07368421052631578
泸203H153,7,3,0.08333333333333333,0.14285714285714285
泸203H9,30,4,0.10427807486631016,0.13333333333333333
泸203H66,24,4,0.12,0.25
泸203H58,57,5,0.126007326007326,0.17543859649122806
泸203H11,4,3,0.13333333333333333,0.25
阳101H51,61,5,0.1553803339517625,0.21311475409836064
泸203H8,4,3,0.16666666666666666,0.25
泸203H76,56,5,0.17922077922077922,0.375
泸208H1,114,4,0.18133561643835616,0.39473684210526316
泸201H5,216,5,0.19130434782608696,0.9166666666666666
阳101H34,26,3,0.1949820788530466,0.3076923076923077
阳101H2,161,5,0.20578848905029162,0.5900621118012422
泸203H10,10,4,0.20588235294117646,0.7
阳101H35,94,5,0.25773251139104797,0.48936170212765956
阳101H33,11,2,0.5,0.45454545454545453
