feature,missing_fraction,observed_n
重算井距_段中点平面_m,0.36515748031496065,645
段长_m,0.15059055118110237,863
簇数,0.14271653543307086,871
加砂强度_t_m,0.19586614173228348,817
用液强度_m3_m,0.19586614173228348,817
排量_m3_min,0.19783464566929135,815
孔隙度_pct,0.13976377952755906,874
含水饱和度_pct,0.1968503937007874,816
总有机碳_pct,0.13976377952755906,874
杨氏模量_GPa,0.1545275590551181,859
泊松比,0.13976377952755906,874
最小主应力_MPa,0.2106299212598425,802
水平应力差_MPa,0.20964566929133857,803
破裂压力_MPa,0.22933070866141733,783
