feature,class,group,observed_n,rho
重算井距_段中点平面_m,M2,泸201H5,216,0.10899814071566526
重算井距_段中点平面_m,M2,泸203H58,57,-0.7117441045901433
重算井距_段中点平面_m,M2,泸203H76,56,-0.5077520310187341
重算井距_段中点平面_m,M2,泸206H8,46,-0.8122640306514047
重算井距_段中点平面_m,M2,泸208H1,114,-0.5217011701335225
重算井距_段中点平面_m,M2,阳101H2,47,-0.7272802509895184
重算井距_段中点平面_m,M2,阳101H35,52,-0.5937136822680675
最小主应力_MPa,M1,泸201H5,216,0.4256508461277405
最小主应力_MPa,M1,泸203H66,24,-0.7150621679662474
最小主应力_MPa,M1,泸203H76,42,-0.396249997177865
最小主应力_MPa,M1,泸203H9,28,-0.13014255144543702
最小主应力_MPa,M1,泸206H8,95,0.9447432353142696
最小主应力_MPa,M1,泸208H1,94,0.2977926198479147
最小主应力_MPa,M1,阳101H2,60,0.8664241027605092
最小主应力_MPa,M1,阳101H25,22,0.9319726972534756
最小主应力_MPa,M1,阳101H34,26,0.9082506837099337
最小主应力_MPa,M1,阳101H35,91,0.25848483120560306
最小主应力_MPa,M1,阳101H51,60,0.180464300156794
水平应力差_MPa,M1,泸201H5,216,0.05304711794415218
水平应力差_MPa,M1,泸203H66,24,-0.4530666189928525
水平应力差_MPa,M1,泸203H76,42,-0.42407008149110115
水平应力差_MPa,M1,泸203H9,28,0.25448049562316827
水平应力差_MPa,M1,泸206H8,95,0.5980982871676809
水平应力差_MPa,M1,泸208H1,94,0.48334661189085915
水平应力差_MPa,M1,阳101H2,60,0.8807142783269921
水平应力差_MPa,M1,阳101H34,26,-0.24895842702593177
水平应力差_MPa,M1,阳101H35,91,-0.3426206970699344
水平应力差_MPa,M1,阳101H51,61,0.8403498662897975
加砂强度_t_m,M1,泸201H5,148,0.7119664551708861
加砂强度_t_m,M1,泸203H66,24,0.7121300591338259
加砂强度_t_m,M1,泸203H76,56,0.8370764287262151
加砂强度_t_m,M1,泸203H9,30,0.9112647781758595
加砂强度_t_m,M1,泸206H8,95,0.820130139232801
加砂强度_t_m,M1,泸208H1,114,0.5942400854426061
加砂强度_t_m,M1,阳101H2,161,0.4890689848798757
加砂强度_t_m,M1,阳101H25,30,0.7304890066075304
加砂强度_t_m,M1,阳101H34,26,0.6058939780261148
加砂强度_t_m,M1,阳101H35,94,0.8933497103033622
