sample_id,key
000d87594f00d1,阳101H51|3|26|阳101H51|2
0046b06fe12699,泸203H64|1|19|泸203H64|4
005b693c7fa118,泸201H5|3|18|泸201H5|1
005e4f1a5d26a8,泸201H5|1|10|泸201H5|3
005edb3b0c1a72,阳101H35|1|10|阳101H35|2
00708041741928,泸203H64|5|14|泸203H64|4
00713f559b2d76,阳101H32|4|8|阳101H32|5
008d8d8ad779df,阳101H31|3|1|阳101H31|2
00a4514ac57a90,泸208H2|7|8|泸208H2|6
00c2925a3ba81f,阳101H35|3|4|阳101H35|4
00fb4ca4c7c417,泸201H5|3|16|泸201H5|4
0105b0c0c812a2,泸203H64|1|18|泸203H64|2
0136078b1dd1f3,阳101H2|5|15|阳101H2|6
01542982b133dc,泸201H5|3|24|泸201H5|1
01596ef8a128e1,泸201H5|3|23|泸201H5|2
0186ea390bb736,阳101H34|3|23|阳101H34|2
01a84d24bda45e,泸203H76|3|17|泸203H76|1
01ba7af482e352,阳101H2|||阳101H2|6
01c16ff17711b1,阳101H26|||阳101H26|2
01cc963f8701ed,阳101H2|5|14|阳101H2|2
01ccc50dfae259,阳101H2|324|19|阳101H2|8
021f1226aa000c,阳101H2|122|3|阳101H2|8
022010542f8270,阳101H35|2|15|阳101H35|1
0265487417a70a,阳101H26|||阳101H26|3
0269171c2f3beb,阳101H2|4|20|阳101H2|5
026cf2a319460c,泸201H5|4|9|泸201H5|2
029ddcaf104bb6,泸208H2|10|12|泸208H2|8
02aa35ea21031e,泸203H64|3|4|泸203H64|2
02df4dc547b70c,泸203H76|3|13|泸203H76|4
02df54ce531f12,泸203H76|1|16|泸203H76|2
02e16cd7cec036,阳101H32|4|15|阳101H32|2
02eeb67cda39df,泸203H64|4|9|泸203H64|3
0301b0503dc63e,泸208H2|8|14|泸208H2|9
0313771e18e1cb,阳101H31|3|15|阳101H31|1
0319a720094d4b,阳101H2|4|15|阳101H2|6
03278152bdb87d,阳101H35|2|11|阳101H35|1
035c48c246a359,阳101H26|||阳101H26|1
0383d7bf737156,阳101H51|1|12|阳101H51|3
039040253f10c4,泸208H1|2|11|泸208H1|5
03adeb22595bf6,泸203H64|3|7|泸203H64|5
03b6bd18333fe0,泸208H2|6|22|泸208H2|7
03bb47c3df36e6,泸203H64|5|11|泸203H64|3
03bd0cc9ae8743,泸203H76|2|16|泸203H76|3
03be013afe578a,泸203H64|1|7|泸203H64|3
03be811339f454,泸201H5|3|2|泸201H5|4
03c4993e3a3802,阳101H31|1|13|阳101H31|3
03c4d09f38c8c5,泸206H8|||泸206H8|2
03c8c4e0ad63d4,阳101H26|||阳101H26|3
03d064cd9d3399,泸203H66|1|19|泸203H66|2
03e9b9a069b224,阳101H26|||阳101H26|4
03ea2387352d97,阳101H32|6|7|阳101H32|4
03f0c4cfe3c762,泸206H8|4|1|泸206H8|8
04091f4aecef70,阳101H32|4|13|阳101H32|7
04147e98bed2d8,阳101H35|||阳101H35|1
0417ed00e351b7,阳101H31|3|2|阳101H31|2
044acecce0871b,泸203H64|4|13|泸203H64|5
0478191a5b4c87,阳101H2|104|17|阳101H2|8
04a0c7fc508f4d,泸208H1|5|23|泸208H1|4
04a7bc8c037dc8,阳101H26|||阳101H26|2
04e7bba88fb5f5,阳101H26|||阳101H26|3
05006dc1881a8b,阳101H26|||阳101H26|1
0507b5e160b25c,泸203H10|2|13|泸203H10|1
051aab523cbdd7,阳101H35|1|18|阳101H35|3
051fcce55ac97a,阳101H32|4|13|阳101H32|5
054236c04bc4be,泸208H2|8|7|泸208H2|9
057202057c8ddb,泸208H1|4|11|泸208H1|5
0572694920f4ce,阳101H32|4|4|阳101H32|2
05aeb8ae0e764c,泸203H66|1|17|泸203H66|4
05e2b21cad8160,泸208H2|1|11|泸208H2|2
05e78b67e4848c,阳101H2|2|21|阳101H2|4
05fd7961f7c4fe,阳101H26|||阳101H26|4
061cfca37b783f,阳101H32|6|15|阳101H32|1
064c13493054ab,阳101H31|7|30|阳101H31|4
065a40297665dc,泸203H64|1|17|泸203H64|3
0669e673cf13db,泸208H2|9|17|泸208H2|8
066f181922cd85,阳101H51|4|4|阳101H51|3
06833045d88d3d,阳101H31|||阳101H31|1
0688457a3e0089,阳101H2|42|21|阳101H32|8
068d8d6f2714e8,阳101H32|2|15|阳101H32|6
069926f741f9b7,泸206H8|5|6|泸206H8|6
06ade3c14fa2ce,泸201H5|2|17|泸201H5|4
06b3d59751a202,泸203H8|4|1|泸203H8|3
06bba88a544e3b,泸201H5|4|9|泸201H5|3
06be3c6d42a0d9,泸201H5|1|6|泸201H5|3
06c792599db96a,泸203H76|1|5|泸203H76|4
06ca430ed4e89a,泸203H66|2|17|泸203H66|4
06f65056b6fd5d,泸201H5|3|6|泸201H5|4
06f823469632fe,阳101H34|6|10|阳101H34|5
06fd55de27df94,泸203H64|5|2|泸203H58|5
0708ef0b48b036,泸203H66|1|20|泸203H66|2
0717b2bb00d821,阳101H26|||阳101H26|4
072d811e02541e,泸208H2|4|22|泸208H2|3
074a07cdc56b44,阳101H2|||阳101H2|6
0763435229cc0a,阳101H26|||阳101H26|4
07657351df4c29,泸208H1|2|4|泸208H1|1
0767003162c953,阳101H26|||阳101H26|3
079770d1cc3140,阳101H35|2|21|阳101H35|1
07a0f38943099f,阳101H32|2|8|阳101H32|3
07aa6a121e64be,阳101H35|3|5|阳101H35|1
07d6911c2931e5,泸201H5|1|15|泸201H5|2
07e98b6d20c202,泸203H64|3|1|泸203H64|2
0819019fb989a8,阳101H2|2|16|阳101H2|5
0836f729b357a3,泸208H1|4|16|泸208H1|5
