group,well,plotted,reason,included_by
泸201H5,泸201H5-1,True,可定位；投影基准待确认,目录指定平台
泸201H5,泸201H5-2,True,可定位；投影基准待确认,目录指定平台
泸201H5,泸201H5-3,True,可定位；投影基准待确认,目录指定平台
泸201H5,泸201H5-4,True,可定位；投影基准待确认,目录指定平台
泸203H153,泸203H153-1,False,缺绝对坐标或有效轨迹,
泸203H153,泸203H153-2,False,缺绝对坐标或有效轨迹,
泸203H153,泸203H153-3,False,缺绝对坐标或有效轨迹,
泸203H153,泸203H153-4,False,缺绝对坐标或有效轨迹,
泸203H153,泸203H153-5,True,可定位；投影基准待确认,目录指定平台
泸203H153,泸203H153-6,True,可定位；投影基准待确认,目录指定平台
泸203H153,泸203H153-7,False,缺绝对坐标或有效轨迹,
泸203H153,泸203H91-1,True,可定位；投影基准待确认,空间落入此地震范围
泸203H153,泸203H91-2,True,可定位；投影基准待确认,空间落入此地震范围
泸203H153,泸203H91-3,True,轨迹一致性待核查,空间落入此地震范围
泸203H153,泸203H91-4,True,轨迹一致性待核查,空间落入此地震范围
泸203H153,泸206H8-3,True,可定位；投影基准待确认,空间落入此地震范围
泸203H153,泸206H8-4,True,可定位；投影基准待确认,空间落入此地震范围
泸203H153,泸206H8-5,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H6-1,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H6-2,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H6-3,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H6-4,True,轨迹一致性待核查,空间落入此地震范围
泸203H64_66_76,泸203H6-5,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H6-6,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H64-1,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H64-2,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H64-3,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H64-4,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H64-5,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H66-1,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H66-2,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H66-3,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H66-4,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H76-1,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H76-2,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H76-3,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H76-4,True,可定位；投影基准待确认,目录指定平台
泸203H64_66_76,泸203H8-2,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H8-4,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H9-2,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H9-3,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H9-4,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸203H9-6,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H1-1,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H1-2,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H1-3,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H1-4,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H1-5,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H1-6,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H2-4,True,可定位；投影基准待确认,空间落入此地震范围
泸203H64_66_76,泸208H2-5,True,可定位；投影基准待确认,空间落入此地震范围
泸203H6_8_9_10_11_泸208H1_2,泸203H10-1,True,轨迹一致性待核查,目录指定平台
泸203H6_8_9_10_11_泸208H1_2,泸203H10-2,True,可定位；投影基准待确认,目录指定平台
泸203H6_8_9_10_11_泸208H1_2,泸203H10-3,True,可定位；投影基准待确认,目录指定平台
泸203H6_8_9_10_11_泸208H1_2,泸203H10-4,True,可定位；投影基准待确认,目录指定平台
泸203H6_8_9_10_11_泸208H1_2,泸203H11-1,False,缺绝对坐标或有效轨迹,
泸203H6_8_9_10_11_泸208H1_2,泸203H11-2,False,缺绝对坐标或有效轨迹,
泸203H6_8_9_10_11_泸208H1_2,泸203H11-3,False,缺绝对坐标或有效轨迹,
泸203H6_8_9_10_11_泸208H1_2,泸203H11-4,False,缺绝对坐标或有效轨迹,
泸203H6_8_9_10_11_泸208H1_2,泸203H11-5,False,缺绝对坐标或有效轨迹,
泸203H6_8_9_10_11_泸208H1_2,泸203H11-6,False,缺绝对坐标或有效轨迹,
