platform,source_well,stage,neighbor,feature_key,pressure_curves,pressure_sample_ids,sample_scope,sgy_group,status,theta_deg,line_length_m,development_km_km2,area_m2,full_window_area_m2,coverage_fraction,theta_pair_deg,theta_sd_deg,edge_count,east,north,md_top,md_bottom,well_azimuth_deg,assumed_hf_azimuth_deg,geometry_status,stage_source,trajectory_source,horizon_source,seismic_source,branch_count,branch_max_m,branch_mean_m,usable_for_exploratory_model
泸201H5,泸201H5-1,1,泸201H5-2,泸201H5|1|1|泸201H5|2,1,698444f4decdb1,压力观测井对,泸201H5,已计算：参考层位/方向假设,44.03532362911008,494.9530162844071,1.3365454097007683,370322.6337780917,370322.63377642387,1.0,44.78682851204814,31.47672872066551,25.0,18535325.654334757,3212611.0889528976,6337.0,6408.0,16.300906871294046,106.30090687129405,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,4.0,195.92428323231684,123.73825407110178,True
泸201H5,泸201H5-1,1,泸201H5-3,泸201H5|1|1|泸201H5|3,1,659cd9914c1c4a,压力观测井对,泸201H5,已计算：参考层位/方向假设,61.135581311656104,1992.675191481928,1.1479728993215281,1735820.7608033547,1755052.693970909,0.9890419625384347,39.96126620736162,29.472373378069594,95.0,18535325.654334757,3212611.0889528976,6337.0,6408.0,16.300906871294046,106.30090687129405,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,7.0,1462.842712474619,284.6678844974183,True
泸201H5,泸201H5-1,1,泸201H5-4,泸201H5|1|1|泸201H5|4,1,a58a9b8cf7985f,压力观测井对,泸201H5,已计算：参考层位/方向假设,43.895103637907496,3592.069445117126,0.9407031304967005,3818494.1972293407,3838250.425390886,0.9948528037590112,61.26670629762615,30.291396005816697,171.0,18535325.654334757,3212611.0889528976,6337.0,6408.0,16.300906871294046,106.30090687129405,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,15.0,1462.842712474619,239.47129634114177,True
泸201H5,泸201H5-1,10,泸201H5-2,泸201H5|1|10|泸201H5|2,1,0ce3b0e15a20d9,压力观测井对,泸201H5,已计算：参考层位/方向假设,79.31196485114168,480.0535805921829,1.2923782077801445,371449.76424258016,371449.76424351946,0.9999999999974712,78.88439534184948,5.667528861551777,24.0,18535137.512067698,3212002.938490418,5698.0,5769.0,17.688307254623055,107.68830725462306,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,1.0,480.0535805921829,480.0535805921829,True
泸201H5,泸201H5-1,10,泸201H5-3,泸201H5|1|10|泸201H5|3,1,005e4f1a5d26a8,压力观测井对,泸201H5,已计算：参考层位/方向假设,55.67254190487432,1509.014042580821,1.1043247957508662,1366458.535013509,1403388.882381576,0.9736848796283781,49.46551525764271,29.675233514076133,73.0,18535137.512067698,3212002.938490418,5698.0,5769.0,17.688307254623055,107.68830725462306,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,6.0,983.3599265469825,251.50234043013685,True
泸201H5,泸201H5-1,10,泸201H5-4,泸201H5|1|10|泸201H5|4,1,b9cd217b057bd5,压力观测井对,泸201H5,已计算：参考层位/方向假设,43.90707392451464,2441.6853240999835,0.8441365202612285,2892524.213197616,2927225.401506257,0.9881453651328713,62.676705951820026,28.402472336157512,117.0,18535137.512067698,3212002.938490418,5698.0,5769.0,17.688307254623055,107.68830725462306,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,9.0,983.3599265469825,271.29836934444256,True
泸201H5,泸201H5-1,11,泸201H5-2,泸201H5|1|11|泸201H5|2,1,43ebbbadd2f73b,压力观测井对,泸201H5,已计算：参考层位/方向假设,77.4290963245606,492.60055846769455,1.326919470186345,371236.21254763607,371236.21254781453,0.9999999999995193,78.03643499716814,4.273786559589211,25.0,18535117.087278873,3211935.0817201575,5627.0,5698.0,15.900336813742001,105.900336813742,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,1.0,492.60055846769455,492.60055846769455,True
泸201H5,泸201H5-1,11,泸201H5-3,泸201H5|1|11|泸201H5|3,1,f2de200e086c17,压力观测井对,泸201H5,已计算：参考层位/方向假设,52.78097089098337,1427.7424904580696,1.1411295089368128,1251166.0414323115,1270896.173316864,0.9844754179776467,51.08730110053522,30.55607524958073,69.0,18535117.087278873,3211935.0817201575,5627.0,5698.0,15.900336813742001,105.900336813742,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,6.0,916.0431209088326,237.9570817430116,True
泸201H5,泸201H5-1,11,泸201H5-4,泸201H5|1|11|泸201H5|4,1,1ea34ba7c7c0c5,压力观测井对,泸201H5,已计算：参考层位/方向假设,41.49361586002325,2356.9517770236234,0.850692382039774,2770627.581467427,2791496.0985724684,0.9925242535299571,63.01103172007237,28.390563383318337,113.0,18535117.087278873,3211935.0817201575,5627.0,5698.0,15.900336813742001,105.900336813742,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,9.0,916.0431209088326,261.8835307804026,True
泸201H5,泸201H5-1,12,泸201H5-2,泸201H5|1|12|泸201H5|2,1,52cd60e282b5f9,压力观测井对,泸201H5,已计算：参考层位/方向假设,81.23375191504906,506.06546677045617,1.3633553415007786,371191.1717845916,371191.17178254394,1.0,80.91578156416321,5.458895398091078,25.0,18535097.00017896,3211867.1851859135,5556.0,5627.0,16.835060240963912,106.83506024096391,已定位,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1井分段结果.xlsx,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 地质工程因素\泸201H5-1 井斜数据.xlsx,LU205H5-0603-O3w.hrzdat,LU205H5_MCANT.sgy,1.0,506.06546677045617,506.06546677045617,True
