platform,sgy_group,horizon_available,designed_stages,survey_wells,located_survey_wells,candidate_pairs,calculated_pairs,pressure_curves,matched_pressure_curves,next_input
泸201H5,泸201H5,True,98,4,4,294,294,295,295,已提取参考层位代理；需确认水力裂缝方向及层位归属
泸203H10,泸203H6_8_9_10_11_泸208H1_2,False,72,4,4,220,0,22,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H11,泸203H6_8_9_10_11_泸208H1_2,False,187,8,0,1309,0,28,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H153,泸203H153,False,190,7,2,1140,0,21,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H55,,False,20,1,0,0,0,0,0,补配套SGY、目标层位及井段几何资料
泸203H6,泸203H6_8_9_10_11_泸208H1_2,False,217,8,6,1520,0,6,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H64,泸203H64_66_76,False,93,5,5,612,0,259,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H66,泸203H64_66_76,False,101,4,4,316,0,91,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H76,泸203H64_66_76,False,96,4,4,290,0,162,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H8,泸203H6_8_9_10_11_泸208H1_2,False,41,2,2,123,0,7,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H9,泸203H6_8_9_10_11_泸208H1_2,False,89,4,4,456,0,53,0,补目标层位/时深转换及未匹配的井段几何资料
泸203H91,泸203H91_泸206H8,False,79,4,4,240,0,16,0,补目标层位/时深转换及未匹配的井段几何资料
泸206H10,,False,0,0,0,48,0,48,0,补配套SGY、目标层位及井段几何资料
泸206H8,泸203H91_泸206H8,False,99,5,5,698,0,177,0,补目标层位/时深转换及未匹配的井段几何资料
泸208H1,泸203H6_8_9_10_11_泸208H1_2,False,150,6,6,760,0,76,0,补目标层位/时深转换及未匹配的井段几何资料
泸208H2,泸203H6_8_9_10_11_泸208H1_2,False,250,10,10,2250,0,195,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H2,,False,0,0,0,252,0,385,0,补配套SGY、目标层位及井段几何资料
阳101H23,阳101H23_31_32_33_34_35_37_43,False,0,0,0,0,0,0,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H25,,False,142,6,6,726,0,27,0,补配套SGY、目标层位及井段几何资料
阳101H26,,False,0,0,0,4,0,197,0,补配套SGY、目标层位及井段几何资料
阳101H31,阳101H23_31_32_33_34_35_37_43,False,104,4,0,799,0,327,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H32,阳101H23_31_32_33_34_35_37_43,False,88,4,4,705,0,238,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H33,阳101H23_31_32_33_34_35_37_43,False,108,4,4,324,0,27,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H34,阳101H23_31_32_33_34_35_37_43,False,129,6,0,645,0,107,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H35,阳101H23_31_32_33_34_35_37_43,False,67,3,3,212,0,232,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H37,阳101H23_31_32_33_34_35_37_43,False,0,0,0,4,0,6,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H43,阳101H23_31_32_33_34_35_37_43,False,162,6,3,812,0,4,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H51,阳101H51_75,False,185,6,0,926,0,145,0,补目标层位/时深转换及未匹配的井段几何资料
阳101H6,,False,115,4,4,345,0,8,0,补配套SGY、目标层位及井段几何资料
阳101H75,阳101H51_75,False,201,7,7,1208,0,21,0,补目标层位/时深转换及未匹配的井段几何资料
