sample_id,platform_id,source_well,stage_id,episode_id,monitor_well,physical_pair_id,stage_group,pressure_file,pressure_sheet,pressure_header,pressure_sha256,pump_file,pump_sheet,alignment,clock_day_shift_s,t0_s,t1_s,duration_min,native_dt_s,invalid_pressure_points,duplicate_time_points,out_of_order_points,coverage,max_gap_s,baseline_mpa,baseline_source,baseline_points,baseline_span_s,baseline_noise_mpa,baseline_slope_mpa_min,qc,reason,baseline_p90_p10_mpa,baseline_last60_mpa,max_raw_step_mpa,a60_mpa,peak_dp_mpa,min_dp_mpa,end_dp_mpa,area_mean_mpa,max_rate60_mpa_min,onset_min,onset_censored,onset_fraction,onset_threshold_mpa,smoothing_seconds,flat_fraction,duration_above_1_min,duration_above_5_min,post10min_available,post10min_dp_mpa,matrix_row,quality_rank,selected,status
0003f8003625b6,阳101H32,2,7,whole_stage,4,阳101H32|2-4,阳101H32|2|7,E:\压裂窜扰项目\02 规范化\阳101H32\阳101H32 邻井压力监测\阳101H32-2-7段压裂施工-4、6井分点压力监测.xlsx,导出数据,阳101H32-4井套压(MPa),a3b225514eacfeb452ce4c4c6cc192012d7bba9d182a631b00d1324699bebc9f,E:\压裂窜扰项目\02 规范化\阳101H32\阳101H32 压裂施工曲线\阳101H32-2-7 压裂施工曲线.xlsx,秒数据,absolute,0,1766129488.0,1766145853.0,272.75,60.0,0,0,0,0.997250229147571,60.0,48.425,initial_window_proxy,2.0,60.0,0.007412999999998525,,supplementary,原始采样间隔大于30秒；施工窗缺口大于30秒；起泵前基线不足180秒,,48.44,0.0899999999999963,,7.275000000000006,-0.0049999999999954525,7.275000000000006,3.59229779411765,0.0899999999999963,19.533333333333335,False,0.07161625420103881,0.1,60.0,0.10661764705882353,195.0,111.0,False,,1869,1,True,supplementary
00391545a8e219,泸201H5,4,3,whole_stage,2,泸201H5|2-4,泸201H5|4|3,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 邻井压力监测\泸201H5-4-3段压裂施工-1、2、3井压力监测.xls,导出数据,2井压力(MPa),5ec94cedd52901fbaecd24314a5a2b96019c1d676e27bfb8f331ba27ae391adf,E:\压裂窜扰项目\02 规范化\泸201H5\泸201H5 压裂施工曲线\泸201H5-4-3 压裂施工曲线.xlsx,Log Data,absolute,0,1759908857.0,1759922912.0,234.25,1.0,0,0,0,1.0,1.0,54.51,pre_pump_10min,600.0,599.0,0.01482599999999705,3.0166750491108104e-06,primary,合格,0.03999999999999915,54.51,0.060000000000002274,0.05000000000000426,0.060000000000002274,-0.03999999999999915,0.030000000000001137,-0.004501600853787746,0.030000000000001137,,True,1.0,0.1,15.0,0.2951974386339381,0.0,0.0,True,0.030000000000001137,262,0,True,primary
00a941d77bd915,阳101H35,1,11,whole_stage,4,阳101H35|1-4,阳101H35|1|11,E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\阳101H35平台1井第11段压裂期间邻井秒点数据5.29.xlsx,text,4#套压(MPa),894ee935f1bf3028163c9117453066f087e1c0ed26202fdbd7146078ef8ac9e9,E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 压裂施工曲线\阳101H35-1-11 压裂施工曲线（秒点）.xlsx,Log Data,named_stage_clock_only,-1716940800,25160.0,37870.0,211.83333333333334,1.0,0,0,0,1.0,1.0,35.3325004577637,initial_window_proxy,80.0,79.0,0.009727752685589012,,supplementary,起泵前基线不足180秒,0.02625274658200283,35.3325004577637,0.07875061035160513,0.328125,0.33468627929679684,-0.013126373291001414,0.2756233215332031,0.1447762596616292,0.07218933105470171,67.33333333333333,False,0.3178599527930763,0.1,15.0,0.3072383949645948,0.0,0.0,True,0.30843734741210227,2289,1,True,supplementary
00a941d77bd915,阳101H35,1,11,whole_stage,4,阳101H35|1-4,阳101H35|1|11,E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\阳101H35平台1井第11段压裂期间邻井分点数据5.29.xlsx,text,4#套压(MPa),cbfcd46673c70d3a82928867e8654e7fe2fe7f8a4dcc3cd6a661658509366c65,E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 压裂施工曲线\阳101H35-1-11 压裂施工曲线（秒点）.xlsx,Log Data,named_stage_clock_only,-1716940800,25160.0,37870.0,211.83333333333334,60.0,0,0,0,0.996066089693155,60.0,35.3325004577637,initial_window_proxy,2.0,60.0,0.024325037384027935,,supplementary,原始采样间隔大于30秒；施工窗缺口大于30秒；起泵前基线不足180秒,,35.3325004577637,0.07875061035149855,,0.33468627929679684,-0.01968765258789773,0.288749694824201,0.14624076770942188,0.07218551635750003,67.66666666666667,False,0.31943351691581434,0.1,60.0,0.0947867298578199,0.0,0.0,True,0.30843734741210227,2286,1,False,duplicate_export
00a941d77bd915,阳101H35,1,11,whole_stage,4,阳101H35|1-4,阳101H35|1|11,E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\1井压裂期间邻井压力检测_1井第11段 压裂质量数量监控表（邻井压力、井口、砂量）.xlsx,1.邻井压力监测表,4井环空压力,1b66e1d8ab6a23fce768636893da9a2b006e9251c5670d4cb23864eb20e0b37b,E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 压裂施工曲线\阳101H35-1-11 压裂施工曲线（秒点）.xlsx,Log Data,named_stage_clock_only,-1716940800,25160.0,37870.0,211.83333333333334,900.0,0,0,0,0.9205350118017309,940.0,35.33,initial_window_proxy,1.0,0.0,0.0,,exclude,施工窗覆盖不足95%；原始采样间隔大于30秒；施工窗缺口大于30秒；起泵前基线不足180秒,,,0.07000000000000028,,0.28999999999999915,0.0,0.28000000000000114,0.1642307692307715,0.004666666666666685,75.66666666666667,False,0.35719905586152634,0.1,900.0,0.23076923076923078,0.0,0.0,False,,2231,3,False,duplicate_export
00af836e462156,泸203H66,3,19,whole_stage,1,泸203H66|1-3,泸203H66|3|19,E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-3井-19段压裂施工-1、2井秒点压力监测.xls,Sheet1,1井,506cdacc0455e3a537a458ae3f8921d72ec362bc943a4393f1db0fd873378684,E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 压裂施工曲线\泸203H66-3-19 压裂施工曲线.xlsx,LogData(s),named_stage_clock_only,-1679875200,28320.0,34007.0,94.78333333333333,1.0,0,0,0,1.0,1.0,52.0,initial_window_proxy,60.0,59.0,0.0,,supplementary,起泵前基线不足180秒,0.0,52.0,0.12999999999999545,0.25,0.25,-0.18999999999999773,0.18999999999999773,-0.044982416036573866,0.07000000000000028,81.66666666666667,False,0.8616142078424478,0.1,15.0,0.9233339194654475,0.0,0.0,True,0.38000000000000256,635,1,True,supplementary
00af836e462156,泸203H66,3,19,whole_stage,1,泸203H66|1-3,泸203H66|3|19,E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-3井-19段压裂施工-1、2井分点压力监测.xls,Sheet1,1井,1e59ab0f14b5058cfa261d1762d9130bb3eccb9242caccb8c54ed0112017be27,E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 压裂施工曲线\泸203H66-3-19 压裂施工曲线.xlsx,LogData(s),named_stage_clock_only,-1679875200,28320.0,34007.0,94.78333333333333,60.0,0,0,0,0.9917355371900827,60.0,52.0,initial_window_proxy,1.0,0.0,0.0,,supplementary,原始采样间隔大于30秒；施工窗缺口大于30秒；起泵前基线不足180秒,,52.0,0.07000000000000028,,0.25,-0.18999999999999773,0.21999999999999886,-0.047287234042552515,0.07000000000000028,82.0,False,0.8651310005275189,0.1,60.0,0.7872340425531915,0.0,0.0,True,0.38000000000000256,633,1,False,duplicate_export
0116418d1699ae,阳101H33,3,8,whole_stage,4,阳101H33|3-4,阳101H33|3|8,E:\压裂窜扰项目\02 规范化\阳101H33\阳101H33 邻井压力监测\阳101H33-3-8段压裂施工-4井压力监测.xlsx,3-8-4,无表头_文件名井号,9d5501bbf760ff7be65e8101e1ee5f586f84a7512e693a1c7d4cfaf491df9d92,E:\压裂窜扰项目\02 规范化\阳101H33\阳101H33 压裂施工曲线\阳101H33-3-8 压裂施工曲线（秒点）.xls,text,absolute,0,1728115360.0,1728126699.0,188.98333333333332,1.0,0,0,0,1.0,1.0,27.385,initial_window_proxy,160.0,159.0,0.010378199999996882,,supplementary,起泵前基线不足180秒,0.053000000000000824,27.379,0.05300000000000438,12.370999999999999,12.527999999999995,-0.06500000000000128,12.481999999999996,3.260602434077078,0.30799999999999983,52.083333333333336,False,0.2755974953699621,0.1,15.0,0.2806243936855102,109.58333333333333,45.25,True,14.648,2099,1,True,supplementary
0116418d1699ae,阳101H33,3,8,whole_stage,4,阳101H33|3-4,阳101H33|3|8,E:\压裂窜扰项目\02 规范化\阳101H33\阳101H33 邻井压力监测\阳101H33-matlab_H33-3.xlsx,3-8-4,无表头_文件名井号,37d2e46ff635500177805ba1b42e87d53bc0d75b6d5ec3061e09ea596ae65797,E:\压裂窜扰项目\02 规范化\阳101H33\阳101H33 压裂施工曲线\阳101H33-3-8 压裂施工曲线（秒点）.xls,text,absolute,0,1728115360.0,1728126699.0,188.98333333333332,1.0,0,0,0,1.0,1.0,27.385,initial_window_proxy,160.0,159.0,0.010378199999996882,,supplementary,起泵前基线不足180秒,0.053000000000000824,27.379,0.05300000000000438,12.370999999999999,12.527999999999995,-0.06500000000000128,12.481999999999996,3.260602434077078,0.30799999999999983,52.083333333333336,False,0.2755974953699621,0.1,15.0,0.2806243936855102,109.58333333333333,45.25,True,14.648,2111,1,False,duplicate_export
01393f641b3cc1,阳101H34,1,17,whole_stage,2,阳101H34|1-2,阳101H34|1|17,E:\压裂窜扰项目\02 规范化\阳101H34\阳101H34 邻井压力监测\阳101H34-1-17段压裂施工-2井秒点压力监测.xls,导出数据,2#2井套压(MPa),ed281d887c005d5a4656980322fce7fa4fd53e005bf70a0bfaf9787bd1708bd7,E:\压裂窜扰项目\02 规范化\阳101H34\阳101H34 压裂施工曲线\阳101H34-1-17 压裂施工曲线.xls,秒点数据,named_stage_clock_only,-1747353600,24428.0,32852.0,140.4,1.0,0,0,0,1.0,1.0,58.7601051330566,initial_window_proxy,128.0,127.0,0.009744719695939576,,supplementary,起泵前基线不足180秒,0.019721984863302566,58.7601051330566,0.03944396972659803,2.300819396972699,2.3205413818360014,-0.006572723388600821,2.3205413818360014,0.8681591528433746,0.06573486328129974,23.166666666666668,False,0.16500474833808168,0.1,15.0,0.26851851851851855,54.5,0.0,False,,2127,1,True,supplementary
