method,k,common_dtw_silhouette,min_cluster_n,max_cluster_fraction,min_cluster_stages,min_cluster_pairs,min_cluster_platforms,support_gate,fit_seconds,ari_median,ari_p10,overlap_ari_median,stable_gate,eligible,selected
DTW_kmedoids,2,0.7019293916535488,139,0.7247524752475247,120,48,15,True,0.05998539924621582,0.9901405880582053,0.9310685685847998,0.9878206071312297,True,True,True
DTW_kmedoids,3,0.6718861572193684,61,0.6752475247524753,59,23,14,True,0.03624296188354492,0.8872168903278138,0.7736772310113638,0.8857486016864242,True,True,False
DTW_kmedoids,4,0.6751506382713603,14,0.6455445544554456,14,6,4,False,0.04255819320678711,0.8525405628291228,0.7826739353518446,0.8927479422191706,True,False,False
DTW_kmedoids,5,0.6695918077178844,4,0.6277227722772277,4,3,3,False,0.037569284439086914,0.9173965668284921,0.7925716371124223,0.9173349505175729,True,False,False
DTW_kmedoids,6,0.6514244705572365,2,0.6237623762376238,2,1,1,False,0.04017949104309082,0.9009676848816941,0.8549070964798032,0.9069017700788334,True,False,False
Euclidean_kmeans,2,0.7271784713742129,84,0.8336633663366336,77,34,17,True,0.03825712203979492,0.8865726192622513,0.37542565040461073,0.8034332478270622,False,False,False
Euclidean_kmeans,3,0.7317363168220534,6,0.7821782178217822,6,5,3,False,0.026999950408935547,0.9608009013456922,0.8591806396575496,0.9488344950066997,True,False,False
Euclidean_kmeans,4,0.72915944715543,4,0.7267326732673267,4,3,3,False,0.02999711036682129,1.0,0.9198655836399272,0.9825383367038862,True,False,False
Euclidean_kmeans,5,0.7096695165318253,2,0.693069306930693,2,1,1,False,0.035002946853637695,0.9126406618723552,0.8352271508481997,0.8703243041402257,True,False,False
Euclidean_kmeans,6,0.7032019686795955,2,0.693069306930693,2,1,1,False,0.03799939155578613,0.9383776075024148,0.7940128918575663,0.8901065911874853,True,False,False
Feature_Ward,2,0.7913492881944509,5,0.9900990099009901,5,4,3,False,0.01600027084350586,1.0,1.0,1.0,True,False,False
Feature_Ward,3,0.6657110971406431,5,0.9762376237623762,5,4,3,False,0.01599717140197754,0.8701324422578731,0.791744767097659,0.8857673153900597,True,False,False
Feature_Ward,4,0.6666382906888116,5,0.7306930693069307,5,4,3,False,0.016000032424926758,0.606706259936391,0.07943976109891983,0.478135707482481,False,False,False
Feature_Ward,5,0.4560128593226743,5,0.6792079207920793,5,4,3,False,0.018000125885009766,0.7494596341794886,0.48251885592092547,0.6214225660036383,False,False,False
Feature_Ward,6,0.4492481389868703,2,0.6792079207920793,2,2,2,False,0.017001628875732422,0.7660821160054218,0.498587651952157,0.6602318483293083,False,False,False
