method,k,cluster,n,platforms,pairs,stages
DTW_kmedoids,2,0,366,15,63,158
DTW_kmedoids,2,1,139,18,48,120
DTW_kmedoids,3,0,103,18,46,90
DTW_kmedoids,3,1,61,14,23,59
DTW_kmedoids,3,2,341,15,58,145
DTW_kmedoids,4,0,326,15,52,139
DTW_kmedoids,4,1,14,4,6,14
DTW_kmedoids,4,2,80,18,37,73
DTW_kmedoids,4,3,85,16,42,77
DTW_kmedoids,5,0,79,18,39,72
DTW_kmedoids,5,1,317,13,49,134
DTW_kmedoids,5,2,4,3,3,4
DTW_kmedoids,5,3,78,16,40,69
DTW_kmedoids,5,4,27,10,14,27
DTW_kmedoids,6,0,315,13,48,134
DTW_kmedoids,6,1,45,14,22,44
DTW_kmedoids,6,2,2,1,1,2
DTW_kmedoids,6,3,7,3,4,7
DTW_kmedoids,6,4,76,17,35,69
DTW_kmedoids,6,5,60,16,33,55
Euclidean_kmeans,2,0,84,18,34,77
Euclidean_kmeans,2,1,421,17,78,183
Euclidean_kmeans,3,0,395,16,72,173
Euclidean_kmeans,3,1,104,18,42,94
Euclidean_kmeans,3,2,6,3,5,6
Euclidean_kmeans,4,0,367,15,63,158
Euclidean_kmeans,4,1,4,3,3,4
Euclidean_kmeans,4,2,23,10,13,23
Euclidean_kmeans,4,3,111,18,45,94
Euclidean_kmeans,5,0,350,15,59,150
Euclidean_kmeans,5,1,2,1,1,2
Euclidean_kmeans,5,2,45,14,22,44
Euclidean_kmeans,5,3,6,3,4,6
Euclidean_kmeans,5,4,102,18,45,89
Euclidean_kmeans,6,0,97,18,45,85
Euclidean_kmeans,6,1,350,15,59,150
Euclidean_kmeans,6,2,2,2,2,2
Euclidean_kmeans,6,3,44,14,22,42
Euclidean_kmeans,6,4,10,4,5,10
Euclidean_kmeans,6,5,2,1,1,2
Feature_Ward,2,0,500,19,90,224
Feature_Ward,2,1,5,3,4,5
Feature_Ward,3,0,493,19,89,220
Feature_Ward,3,1,5,3,4,5
Feature_Ward,3,2,7,5,6,7
Feature_Ward,4,0,369,15,65,159
Feature_Ward,4,1,124,18,45,107
Feature_Ward,4,2,5,3,4,5
Feature_Ward,4,3,7,5,6,7
Feature_Ward,5,0,343,14,61,150
Feature_Ward,5,1,124,18,45,107
Feature_Ward,5,2,26,8,18,22
Feature_Ward,5,3,5,3,4,5
Feature_Ward,5,4,7,5,6,7
Feature_Ward,6,0,343,14,61,150
Feature_Ward,6,1,124,18,45,107
Feature_Ward,6,2,26,8,18,22
Feature_Ward,6,3,2,2,2,2
Feature_Ward,6,4,3,3,3,3
Feature_Ward,6,5,7,5,6,7
