platform,监测文件数,解析通道数,主分析独立样本数,补充样本数
泸201H5,99,297,242,7
泸203H64,56,253,51,108
泸206H8,67,401,35,95
泸208H1,84,103,31,27
泸208H2,208,406,30,125
泸203H66,102,160,24,29
泸203H76,119,310,16,117
阳101H33,41,61,13,5
阳101H51,76,153,11,100
阳101H35,184,315,11,17
阳101H34,104,107,10,81
泸203H11,25,24,8,10
泸203H9,31,54,7,31
泸203H153,23,23,5,11
阳101H37,7,11,4,3
阳101H43,4,4,2,0
泸203H91,14,19,2,0
泸203H8,12,8,2,1
泸203H10,23,27,1,11
泸203H6,4,5,0,0
泸206H10,19,50,0,0
阳101H32,68,309,0,14
阳101H25,3,77,0,0
阳101H2,216,2475,0,0
自205H1,2,0,0,0
阳101H31,146,403,0,0
阳101H6,12,15,0,0
阳101H75,15,21,0,1
