sample_id,platform_id,source_well,stage_id,monitor_well,cluster,boundary_flag,resamples_present,aligned_label_agreement
00391545a8e219,泸201H5,4,3,2,C1,False,80,1.0
0208011b753031,泸201H5,2,20,3,C1,False,77,1.0
021dd481c44144,泸201H5,4,18,1,C1,False,80,1.0
022c1182b1cfff,泸208H2,6,4,7,C2,False,85,1.0
0310075b399c25,泸208H2,9,16,8,C1,False,85,1.0
0328cc9f330703,泸201H5,4,18,2,C1,False,80,1.0
03787a25c1fae3,泸201H5,2,16,4,C1,False,78,1.0
03f83dd9f232e0,泸201H5,2,7,1,C1,False,84,1.0
04bca19f595dd6,泸208H1,5,26,4,C1,True,82,1.0
04f96c3d234d25,阳101H35,2,9,1,C1,False,87,1.0
05c01bdeb6ae63,泸203H66,1,18,3,C1,True,85,0.5764705882352941
069769b190c640,泸203H64,4,2,5,C1,False,85,1.0
06fc5e7d851ad9,泸203H66,2,16,1,C2,False,88,1.0
0702d970c78b21,泸201H5,3,18,2,C1,False,82,1.0
073272c209606f,泸201H5,1,17,4,C1,False,77,1.0
07d8f106795362,泸201H5,4,13,3,C1,False,78,1.0
07e175d7599e84,泸201H5,4,15,1,C1,False,79,1.0
0909413fcd30dc,泸203H64,4,9,1,C1,False,89,1.0
090db60a9be086,泸201H5,2,19,3,C1,False,84,1.0
09f08c8d151523,泸208H1,5,2,6,C2,False,84,1.0
0a352a3c2bf19b,泸201H5,2,8,3,C1,False,81,1.0
0a40242ccdaea4,泸201H5,3,3,1,C1,False,79,1.0
0b1da307e4799a,泸201H5,1,23,2,C1,False,78,1.0
0c09653e110e7c,泸203H64,4,2,2,C1,False,85,1.0
0c88d88882c8a2,泸203H66,2,16,3,C1,False,88,1.0
0ceb9f97c78f7c,泸203H11,6,22,5,C2,False,86,1.0
0d4aa215a71d84,泸203H64,4,10,1,C1,False,84,1.0
0ddacf773ef91d,泸206H8,5,6,7,C1,False,87,1.0
0e28774009dc3a,泸201H5,1,11,2,C1,False,81,1.0
0e53afa3e9d5cf,泸203H64,3,10,4,C1,False,87,1.0
0e7b32e28e53b2,泸201H5,2,8,4,C1,False,81,1.0
0eac4bf414c351,阳101H37,4,11,6,C1,False,100,1.0
1032e4261a1641,泸208H1,5,20,4,C2,False,83,1.0
11949df90948ca,泸201H5,1,11,3,C1,False,81,1.0
11d9aa3aaaf89c,阳101H33,1,10,2,C2,False,82,1.0
11eef16addb9c0,泸201H5,3,15,1,C1,False,78,1.0
12ac820130ca52,泸203H66,3,17,1,C1,False,86,1.0
1388b55ef470a1,泸208H2,9,7,10,C2,False,82,1.0
139359f4559416,泸203H64,3,1,4,C2,False,85,1.0
13c6aabfbcab35,泸203H64,4,9,3,C1,False,89,1.0
14111da8486e17,泸201H5,2,7,4,C1,False,84,1.0
142b8dde1d29d6,泸208H1,4,4,5,C2,False,82,1.0
15c28c3ee91376,泸203H153,5,4,6,C2,False,88,1.0
1623a98c35ccd8,泸201H5,1,16,4,C1,False,76,1.0
162e1b4c856f40,泸201H5,3,12,4,C1,False,82,1.0
169248eea4238a,阳101H35,3,8,2,C2,False,86,1.0
176286c7da91a4,泸203H91,3,6,2,C2,False,100,1.0
179ecee02bac59,泸203H76,1,19,2,C2,False,81,0.8395061728395061
17aef3d9d02efb,泸203H64,3,9,5,C2,True,76,0.8289473684210527
17bf53e5c7feae,泸203H64,5,14,3,C1,False,83,1.0
17f1688b429ac2,泸201H5,2,10,1,C1,False,82,1.0
1856e21cc71d89,泸203H9,3,1,4,C2,False,100,1.0
18948c64b2a0f7,阳101H34,2,9,1,C1,False,80,1.0
18eb436caf87f2,泸201H5,3,21,2,C1,False,83,1.0
19294c5d86b2a2,泸206H8,4,1,1,C1,False,79,1.0
19f103a0f03ef9,泸201H5,1,23,3,C1,False,78,1.0
1a266d082fc066,泸201H5,4,24,1,C1,False,79,1.0
1a799accd98992,泸203H76,2,17,4,C1,False,83,1.0
1a8c6b635bc434,泸208H2,8,13,7,C1,False,84,1.0
1ae4adf98e414c,泸201H5,1,17,2,C1,False,77,1.0
1b322807c707cc,泸208H1,5,8,6,C2,False,78,1.0
1d9cf0c6e1a03b,泸203H64,5,9,1,C1,False,90,1.0
1e1b22dfd3ed4c,阳101H35,2,9,3,C2,False,87,1.0
1e5e81a7ffc0ff,阳101H43,3,21,2,C2,True,100,0.84
1f918e9209a431,泸201H5,4,21,3,C1,False,79,1.0
2015078d8ffd57,泸201H5,1,15,4,C1,False,80,1.0
20cceb34da55bf,泸201H5,3,12,1,C1,False,82,1.0
2180e83396cd11,阳101H34,2,9,4,C1,False,80,1.0
21b9823dde0ec4,泸201H5,2,15,4,C1,False,82,1.0
23401ea5dc37ef,泸201H5,3,19,4,C2,False,80,1.0
2369f65dfc5d73,泸201H5,3,11,2,C1,False,73,1.0
23c57f02537b91,泸201H5,3,1,4,C1,False,87,1.0
23fffa7a57cde2,阳101H51,2,8,3,C2,False,80,1.0
2430fa6d519260,阳101H33,3,4,4,C2,False,88,1.0
24646abea5c992,泸206H8,1,12,2,C2,False,84,1.0
24ee052bd27ec1,泸201H5,2,3,4,C1,False,87,1.0
