file,sheet,monitor,points,reason
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\4井8：00到13：40套压数据.xls,导出数据,4,23,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\4井第5段（6井套压秒点数据）.xls,导出数据,4,13621,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\5井套压分点数据11.6.xls,导出数据,5,196,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.10 2井1段.xlsx,1.邻井压力监测表,7,14,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.10 2井1段.xlsx,1.邻井压力监测表,8,14,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.10 4井17段.xlsx,1.邻井压力监测表,7,22,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.10 4井17段.xlsx,1.邻井压力监测表,8,22,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.11    邻井叠合图 2井2段.xlsx,1.邻井压力监测表,7,16,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.11    邻井叠合图 2井2段.xlsx,1.邻井压力监测表,8,15,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.11 4井18段.xlsx,1.邻井压力监测表,7,21,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.11 4井18段.xlsx,1.邻井压力监测表,8,21,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.12 2井3段.xlsx,1.邻井压力监测表,7,20,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.12 2井3段.xlsx,1.邻井压力监测表,8,20,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.13 4井20段.xlsx,1.邻井压力监测表,7,20,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.13 4井20段.xlsx,1.邻井压力监测表,8,20,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.6 6井19段.xlsx,1.邻井压力监测表,7,20,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.6 6井19段.xlsx,1.邻井压力监测表,8,20,新解析器未识别，保留旧解析器有效通道
