file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据-2.xlsx,5-8,123,32,已提取,3个通道
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据.xlsx,5-8,123,32,已提取,3个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据   叠合图.12.14.xlsx,1井,299,6,已提取,1个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据   叠合图.12.14.xlsx,2井,299,6,已提取,1个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据   叠合图.12.14.xlsx,3井,299,4,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据   叠合图.12.14.xlsx,4井,299,6,已提取,1个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\4井8：00到13：40套压数据.xls,导出数据,26,2,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\4井第5段（6井套压秒点数据）.xls,导出数据,13624,2,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\5井套压分点数据11.6.xls,导出数据,199,2,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.10 2井1段.xlsx,1.邻井压力监测表,24,44,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\压裂质量数量监控表12.10 2井1段.xlsx,2.井口阀门监控表,19,14,非时序压力表,工况、数量或阶段汇总表
