file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台）.xlsx,Sheet1,748.0,9.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台）.xlsx,Sheet2,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台）.xlsx,Sheet3,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_2井施工期间_2井压窜邻井压力上涨液量.xls,Sheet1,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_2井施工期间_2井压窜邻井压力上涨液量.xls,Sheet2,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_2井施工期间_2井压窜邻井压力上涨液量.xls,Sheet3,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_3井施工期间_第10段_液体暂堵过程记录.xlsx,泸203H64    3井  第10 级 压裂施工60,258.0,13.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-井号待核实-7段压裂施工-邻井待核实分点压力监测.xls,Sheet1,139.0,3.0,已提取,1个通道
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-井号待核实-7段压裂施工-邻井待核实分点压力监测.xls,Sheet2,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-井号待核实-7段压裂施工-邻井待核实分点压力监测.xls,Sheet3,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H76\泸203H76 邻井压力监测\泸203H76平台-1井-5段压裂施工-邻井待核实分点压力监测.xls,历史数据,3608.0,71.0,已提取,1个通道
E:\压裂窜扰项目\02 规范化\泸203H76\泸203H76 邻井压力监测\泸203H76平台-2井-6段压裂施工-邻井待核实分点压力监测.xls,历史数据,3608.0,71.0,已提取,2个通道
E:\压裂窜扰项目\02 规范化\泸203H76\泸203H76 邻井压力监测\泸203H76平台-4井-段号待核实压裂施工-邻井待核实秒点压力监测.xls,Sheet1,7982.0,3.0,已提取,1个通道
E:\压裂窜扰项目\02 规范化\泸203H76\泸203H76 邻井压力监测\泸203H76平台-4井-段号待核实压裂施工-邻井待核实秒点压力监测.xls,Sheet2,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H76\泸203H76 邻井压力监测\泸203H76平台-4井-段号待核实压裂施工-邻井待核实秒点压力监测.xls,Sheet3,0.0,0.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第1段施工(1).xls,阶段汇总,30.0,15.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第1段施工(1).xls,分点数据,8763.0,11.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第1段施工(1).xls,打印数据,187.0,10.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第5段施工叠合图.xls,封面,13.0,3.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第5段施工叠合图.xls,基础参数,44.0,7.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第5段施工叠合图.xls,施工设计,104.0,10.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第5段施工叠合图.xls,阶段汇总,30.0,15.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第5段施工叠合图.xls,分点数据,9063.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第5段施工叠合图.xls,打印数据,206.0,10.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第6段施工.xls,封面,13.0,3.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第6段施工.xls,基础参数,44.0,7.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第6段施工.xls,施工设计,104.0,10.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第6段施工.xls,阶段汇总,30.0,15.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第6段施工.xls,分点数据,5866.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台2井第6段施工.xls,打印数据,161.0,10.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台4井第2段施工(1).xls,封面,13.0,3.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台4井第2段施工(1).xls,基础参数,44.0,7.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台4井第2段施工(1).xls,施工设计,104.0,10.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台4井第2段施工(1).xls,阶段汇总,35.0,15.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台4井第2段施工(1).xls,分点数据,11163.0,11.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H8\泸203H8 邻井压力监测\泸203H8平台4井第2段施工(1).xls,打印数据,260.0,10.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H91-3井第3段压裂施工秒点数据.xlsx,Log Data,10546.0,12.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H91-3井第4段压裂施工分点数据.xls,Log Data,183.0,13.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H91-3井第4段压裂施工秒点数据.xlsx,Log Data,10865.0,12.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H58-4井-周森,24.0,19.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H58-5井-周森,24.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H58-6井-周森、李拾乔,25.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H58-7井-周森、李磊,19.0,22.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H3-1井-周森,17.0,12.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H3-2井-周森,11.0,15.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H3-3井-周森,9.0,15.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H5-1井-李磊,12.0,18.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H5-2井-李磊,10.0,18.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H5-3井-李磊,22.0,18.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H5-4井-李磊,20.0,18.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H55-2井-周森,9.0,15.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H2-1饶哲丞,8.0,15.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H55-3井-肖文梁  ,5.0,15.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H41-8井-陈胜超,24.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H40-1井李拾乔,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H59-3井陈妙,22.0,12.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H59-4井陈妙,12.0,12.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H1-2井胡刚,15.0,18.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H1-3井胡刚,7.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-3井陈妙,12.0,18.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-4井陈妙,6.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-1井陈妙,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H19-3井周嘉宾,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H19-4井周嘉宾 ,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H32-6井余仁界,5.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H32-5井余仁界 ,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H32-4井余仁界,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H32-2井余仁界,3.0,14.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H41-2井-陈胜超,7.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H60-1井-周森,22.0,15.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H60-2井龚光云,9.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H4-2井陈胜超,14.0,19.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H4-3陈胜超、周嘉宾,10.0,16.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H4-4陈胜超,16.0,27.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H59-2井-李磊,9.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H33-4龚光云,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H50-5李拾乔,3.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H24-1饶哲丞,18.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H24-2饶哲丞,7.0,18.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,长宁H20-3陆方保,4.0,18.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H58-7井-李磊,6.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-1井-陈妙,12.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-2井-陈妙,15.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-3井-陈妙,10.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-4井-陈妙,13.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H29-5井龚光云,29.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H29-6井龚光云,18.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H31-5井李欣,15.0,17.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H31-4井李欣,14.0,17.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H3-3井李治宏,2.0,14.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H2-2井李磊,5.0,14.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足208H1-1井李磊,4.0,14.0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足208H1-2井李磊,5.0,14.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H58-1井周嘉宾,32.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H69-1井李欣,10.0,17.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H69-2井李欣,7.0,17.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H9-1井李治宏,10.0,14.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H9-2井李治宏,5.0,14.0,解析失败,没有至少5个可解释时间点
