file,sheet,column,platform,source,stage,monitor,monitor_platform,mapping,header,unit,channel_id,status,reason,alternate_record_flag,sample_id,final_sample_id,final_cluster
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据-2.xlsx,5-8,22,自205H1,,,sensor:开井压力,自205H1,pressure_unknown_well,开井压力,MPa_context_assumed,a49ec6237e3ba9,阶段统计而非时序,各施工段统计指标，不能拼为连续压力曲线,,,,
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据-2.xlsx,5-8,23,自205H1,,,sensor:停泵压力（Mpa),自205H1,pressure_unknown_well,停泵压力（Mpa),MPa_explicit,47d1cfffa4c7c8,阶段统计而非时序,各施工段统计指标，不能拼为连续压力曲线,,,,
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据-2.xlsx,5-8,24,自205H1,,,sensor:15分钟压降（Mpa),自205H1,pressure_unknown_well,15分钟压降（Mpa),MPa_explicit,1ec3ce69640457,阶段统计而非时序,各施工段统计指标，不能拼为连续压力曲线,,,,
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据.xlsx,5-8,22,自205H1,,,sensor:开井压力,自205H1,pressure_unknown_well,开井压力,MPa_context_assumed,81b3a49da678b3,阶段统计而非时序,各施工段统计指标，不能拼为连续压力曲线,,,,
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据.xlsx,5-8,23,自205H1,,,sensor:停泵压力（Mpa),自205H1,pressure_unknown_well,停泵压力（Mpa),MPa_explicit,70923b7b0c9950,阶段统计而非时序,各施工段统计指标，不能拼为连续压力曲线,,,,
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据.xlsx,5-8,24,自205H1,,,sensor:15分钟压降（Mpa),自205H1,pressure_unknown_well,15分钟压降（Mpa),MPa_explicit,5789ccfaa442fd,阶段统计而非时序,各施工段统计指标，不能拼为连续压力曲线,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\4井第5段（6井套压秒点数据）.xls,导出数据,legacy_0,阳101H2,4.0,5.0,4,阳101H2,V1_validated_parser_fallback,4井套压A(MPa),MPa_context_assumed,bd64951cbb588f,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳10132-6井第4段     H2平台邻井井涨压施工叠合图20251112.xlsx,Sheet1,21,阳101H2,6.0,4.0,6,阳101H2,header,6井,MPa_context_assumed,3d1d1ba0df9a61,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-1、2、3、4、5、6井油压、环空压力监测6井第8段施工   20251119.xlsx,Sheet1,21,阳101H2,6.0,8.0,6,阳101H2,header,6井,MPa_context_assumed,e2182e1f48b053,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台井口压力监测记录表          叠合图 1.5.xlsx,1,6,阳101H2,2.0,22.0,2,阳101H2,header,阳101H2-2,MPa_context_assumed,d7ffc1a939cad9,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台井口压力监测记录表   叠合图  1.4.xlsx,1,6,阳101H2,2.0,21.0,2,阳101H2,header,阳101H2-2,MPa_context_assumed,43d0db8eccf7db,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台井口压力监测记录表1.4.xlsx,1,6,阳101H2,2.0,21.0,2,阳101H2,header,阳101H2-2,MPa_context_assumed,1c0301713ddc59,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台井口压力监测记录表1.5.xlsx,1,6,阳101H2,2.0,22.0,2,阳101H2,header,阳101H2-2,MPa_context_assumed,5a01f7a3d3c2e7,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测          叠合图   12.29.xlsx,1,5,阳101H2,2.0,15.0,2,阳101H2,header,2井,MPa_context_assumed,283fdece389276,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测    叠合图12.13.xlsx,1,13,阳101H2,4.0,20.0,4,阳101H2,header,4井,MPa_context_assumed,004ed263f770f9,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测   叠合图  12.12(1).xlsx,1,13,阳101H2,4.0,19.0,4,阳101H2,header,4井,MPa_context_assumed,91650c9d7f20d8,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测   叠合图  12.12(1).xlsx,2,5,阳101H2,2.0,3.0,2,阳101H2,header,2井,MPa_context_assumed,7dbf44d70b4a64,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测   叠合图  12.15.xlsx,1,17,阳101H2,5.0,16.0,5,阳101H2,header,5井,MPa_context_assumed,144cd534b60771,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测   叠合图12.12.xlsx,1,13,阳101H2,4.0,19.0,4,阳101H2,header,4井,MPa_context_assumed,d341dac51cff3f,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测  邻井叠合图12.07(2).xlsx,1,21,阳101H2,6.0,20.0,6,阳101H2,header,6井,MPa_context_assumed,c622cd03e6a0f7,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.06.xlsx,1,21,阳101H2,6.0,19.0,6,阳101H2,header,6井,MPa_context_assumed,0e11afab484587,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.06.xlsx,2,17,阳101H2,5.0,14.0,5,阳101H2,header,5井,MPa_context_assumed,12c4efa80f140b,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.07(3).xlsx,1,21,阳101H2,6.0,20.0,6,阳101H2,header,6井,MPa_context_assumed,4e43847bf34391,施工井自身压力,源井与监测井相同,,,,
