sample_id,platform_id,source_well,stage_id,monitor_platform,monitor_well,stage_group,pair_id,well_identity_known,event_identity_known,window_basis,construction_coverage,pump_file,file,sheet,column,platform,source,stage,monitor,mapping,header,unit,channel_id,alternate_record_flag,rawhash,alias_count,conflict_count,matrix_row,fragment_only,fragment_discarded_points,native_n,native_dt_s,duration_min,max_gap_s,baseline_mpa,baseline_method,baseline_noise_mpa,pressure_peak_mpa,amplitude_range_mpa,rise_peak_mpa,drop_min_mpa,end_dp_mpa,initial_relative_rise_mpa,initial_relative_drop_mpa,initial_10pct_dp_mpa,early_25pct_dp_mpa,middle_50pct_dp_mpa,late_75pct_dp_mpa,tail_90pct_dp_mpa,initial_rate_mpa_min,early_rate_mpa_min,middle_rate_mpa_min,tail_rate_mpa_min,max_rate_mpa_min,min_rate_mpa_min,max_acceleration_mpa_min2,min_acceleration_mpa_min2,early_to_late_acceleration_mpa_min2,observed_onset_min,true_pump_response_delay_min,onset_reference,onset_censored,onset_fraction,peak_time_fraction,trough_time_fraction,area_mean_mpa,recovery_fraction,early_slope_shape,middle_slope_shape,late_slope_shape,early_late_slope_change_shape,acceleration_p95_shape,acceleration_p05_shape,dip_fraction,end_peak_ratio,native_rate_timescale_min,acceleration_timescale_min,low_resolution,max_native_jump_mpa,operational_flag,nonstationary_baseline,t0_observed_s,t1_observed_s,shape_level_10,shape_level_25,shape_level_50,shape_level_75,shape_level_90,shape_end,included,duplicate_sample_of
788666e7af8bb6,泸206H10,4,11,泸206H10,2,泸206H10|4|11|20181,泸206H10|4|泸206H10|2,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\新建文件夹_4井_4井第11段压裂期间-2.、3井压力.xlsx,4井第11段压裂期间-2.、3井压力,1,泸206H10,4,11,2,header,2#井口套压,MPa_context_assumed,a6c8508a829940,False,e3ff860ba6646e1f8a80eeedb2e1045b74533e6ac2e274eee4e2344770215a6b,0,0,0,False,0,11460,1.0,190.98333333333332,1.0,61.29051282051299,observed_start_proxy,0.0,61.48,0.2020512820512714,0.1766899766898007,-0.057762237762233326,0.16406759906760016,0.1766899766898007,-0.057762237762233326,-0.01925407925407541,-0.04051282051281646,-0.046794871794865835,0.10168997668998261,0.15030536130536518,-0.0014799033624886765,-0.0011405760092665148,0.000989113210661547,0.0011544946733484784,0.006426573426565339,-0.0035664335664407076,0.0037296037296233207,-0.003471561771559095,1.602283398282568e-05,143.0,,observed_window_only,False,0.7487564359891788,0.9921259842519685,0.4645669291338583,0.017466803202906413,0.05383774110089675,-1.0780976292665854,0.9349316475420459,1.0912538578979176,2.1693514871645028,673.2742706286041,-626.6921070257125,0.2858790955237587,0.8138111888120036,0.5,5.5,False,0.020000000000003126,False,False,1743665580.0,1743677039.0,-0.10175357637205087,-0.20696815874399815,-0.23805952930236599,0.49682741116836937,0.7374365482242095,0.857983387170886,True,
c207c73c1e80bb,泸206H10,4,11,泸206H10,3,泸206H10|4|11|20181,泸206H10|4|泸206H10|3,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\新建文件夹_4井_4井第11段压裂期间-2.、3井压力.xlsx,4井第11段压裂期间-2.、3井压力,2,泸206H10,4,11,3,header,3#井口套压,MPa_context_assumed,93401d872ee1c6,False,644b1b9f1851bfe00a150c7e24223d71464720cb542d40ea917fc546105a5de1,0,0,1,False,0,11460,1.0,190.98333333333332,1.0,61.66000000000017,observed_start_proxy,0.010483565137869667,63.31,1.5653682983683026,1.6390909090907329,-0.0008391608391633554,1.6116200466200539,1.6390909090907329,-0.0008391608391633554,0.041116550116552734,0.07054195804195729,0.45414918414919103,1.2016142191142212,1.499850815850825,0.002539310891541336,0.001841841871279236,0.013847993387260305,0.009003944870465765,0.018671328671331366,-0.0012284382284430961,0.0045664335664358895,-0.0039370629370658605,5.0001591756254686e-05,74.0,,observed_window_only,False,0.3874683654769177,1.0,0.03674540682414698,0.6240353110542498,0.016751240174438235,0.2247145929916167,1.6895295118942497,1.0985295960724308,0.8738150030808143,106.4024302899484,-91.73747052565842,0.000536078851244192,0.9832401837394636,0.5,5.5,False,0.030000000000001137,False,False,1743665580.0,1743677039.0,0.0262663746030726,0.04506412843268369,0.2901228960767554,0.7676239645116837,0.9581456436893427,1.0470960161895704,True,
a46114f9e34c11,泸206H10,4,7,泸206H10,3,泸206H10|4|7|20177,泸206H10|4|泸206H10|3,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\新建文件夹_4井_4井第7段压裂期间-3井压力.xlsx,4井第7段压裂期间-3井压力,1,泸206H10,4,7,3,header,3#井口套压,MPa_context_assumed,a63d756da798ae,False,9196ceebeb6965c8a0ff6e43551484b84fbb12f1f74f4372f376278ce7688c83,0,0,2,False,0,10920,1.0,181.98333333333332,1.0,61.50787878787896,observed_start_proxy,0.010483565137869667,62.1,0.5214650349650357,0.5850582750580671,-0.013682983683132477,0.5577622377622404,0.5850582750580671,-0.013682983683132477,0.022708624708627667,0.021282051282064174,0.118624708624715,0.34529720279720166,0.4730349650349645,0.0017976460081790021,0.0008482680455936457,0.004413185137199809,0.005319013205299742,0.008388111888114835,-0.002331002331002452,0.004358974358964929,-0.004258741258724541,3.275571139998971e-05,87.0,,observed_window_only,False,0.4780657569374485,1.0,0.0,0.19390098865325292,0.0455890368290539,0.2960325930723892,1.5401342142500405,1.8562543761143395,1.5602217830419502,276.83586387036564,-270.4701194065598,0.026239503640066535,0.9544109631709461,0.5,5.5,False,0.030000000000001137,False,False,1743334080.0,1743344999.0,0.06978724545587262,0.06705154252104566,0.253723036898761,0.6884070118035888,0.9333664120945933,1.1481906141249627,True,
b4df898e77d033,泸206H10,4,9,泸206H10,3,泸206H10|4|9|20179,泸206H10|4|泸206H10|3,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\新建文件夹_4井_4井第9段压裂期间-3井压力.xlsx,4井第9段压裂期间-3井压力,1,泸206H10,4,9,3,header,3#井口套压,MPa_context_assumed,27f840f118f92e,False,828750464863f219b2d18778c0aea99258fcf8e621ec9d548a82ff70e73933e6,0,0,3,False,0,10794,1.0,179.98333333333332,7.0,61.59947552447562,observed_start_proxy,0.010483565137869667,62.45,0.7688741258741221,0.8424125874124044,-0.010314685314611438,0.8008391608392387,0.8424125874124044,-0.010314685314611438,0.0005244755245499277,0.0724825174825874,0.2205244755245559,0.46183566433574263,0.7007808857809565,-0.00036768636767689727,0.0014109255768724421,0.003914966151578582,0.008457097497718304,0.010474358974355625,-0.001468531468525569,0.00410256410256018,-0.003942890442886693,5.2198699293237246e-05,52.0,,observed_window_only,False,0.2889156403370683,1.0,0.06406685236768803,0.2862101644998908,0.04875348532035833,0.3302791443554614,0.9164421511091985,1.979695436146765,1.6494162917913033,172.84814016448433,-166.12081198194699,0.013415310734881109,0.9502760120444683,0.5,5.5,False,0.030000000000001137,False,False,1743494400.0,1743505199.0,-0.007548954515062283,0.08603989122250158,0.2785837069916455,0.5924337647456939,0.9032066382294524,1.0874132552364024,True,
fb1ad992a3bce2,泸206H10,2,10,泸206H10,3,泸206H10|2|10|20179,泸206H10|2|泸206H10|3,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-10段压裂施工-3、5井压力监测.xlsx,2井第10段压裂期间-3、5压力,1,泸206H10,2,10,3,header,3#井口套压,MPa_context_assumed,cc7b8b1b0f0f9f,False,87e873ed468d3d6e65ddc2bd0f93ae22903b75763bf53ae70acec6a48841bde2,0,0,4,False,0,9360,1.0,155.98333333333332,1.0,62.47000000000017,observed_start_proxy,0.010483565137869667,62.51,0.042808857808860165,0.020839160839166482,-0.03862470862470957,0.01999999999982549,0.020839160839166482,-0.03862470862470957,-0.01911188811187827,-0.02999999999999403,-0.02999999999999403,-0.01999999999999602,0.0,-0.001624686408403788,-0.0009577233424257024,0.00010927597161465916,0.0009021358388430665,0.004195804195801856,-0.0036132867132820934,0.00410256410256693,-0.003336829836826638,1.5897930815418477e-05,,,observed_window_only,True,1.0,0.9807073954983923,0.3536977491961415,-0.02020623355701814,0.004195804196704955,-0.7469443968135123,0.08522615152846624,0.7035907763110215,1.4505351731245337,499.09333903168294,-405.9387016037936,0.19312354312354785,0.052097902097720805,0.5,5.5,False,0.030000000000001137,False,False,1743512940.0,1743522299.0,-0.14346153846079798,-0.1979020979013768,-0.1979020979013768,-0.14790209790138675,-0.04790209790140665,0.05209790209768528,True,
e66d6ab12f5335,泸206H10,2,10,泸206H10,5,泸206H10|2|10|20179,泸206H10|2|泸206H10|5,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-10段压裂施工-3、5井压力监测.xlsx,2井第10段压裂期间-3、5压力,2,泸206H10,2,10,5,header,5#井口套压,MPa_context_assumed,b6c95d5fc3a209,False,fcf2ba97c059abf83f353867aa4c40294923b0bc965a9f14c69517efa019dee7,0,0,5,False,0,9360,1.0,155.98333333333332,1.0,49.75529836829844,observed_start_proxy,0.010483565137869667,49.79,0.020233100233106427,0.030552447552508966,-0.00574125874119602,0.02647785547783954,0.030552447552508966,-0.00574125874119602,0.011030303030373289,0.015383449883515254,0.014282051282119568,0.024089743589813764,0.02470163170170281,0.0011471299961097207,0.00034190588851270345,2.8484641435617238e-05,0.00022039805521998493,0.0037773892773920155,-0.0034265734265723326,0.004358974358986245,-0.003804195804203658,-1.038639455435141e-06,,,observed_window_only,True,1.0,0.9839228295819936,0.01929260450160772,0.01689377936953554,0.020372960373347127,0.26665810088253256,0.022215646599661805,0.17189211656698655,-0.09476598431554603,530.2866727222436,-462.795641648197,0.0287062937059801,0.09979020979043796,0.5,5.5,False,0.020000000000003126,False,False,1743512940.0,1743522299.0,0.0225524475531067,0.04431818181881653,0.03881118881183809,0.08784965035030907,0.0909090909097543,0.09020979020956332,True,
8dc219f8d088a3,泸206H10,2,15,泸206H10,1,泸206H10|2|15|20191,泸206H10|2|泸206H10|1,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-15段压裂施工-1、3、4、5井压力监测.xlsx,2井第15段压裂期间-1、3、4、5井压力,1,泸206H10,2,15,1,header,1#井口套压,MPa_context_assumed,b0611d5a17f049,False,17fd2356aaa3610d88b813c44d508ab9c8fc15ff4f972e72618461912998f8cb,0,0,6,True,561,1758,1.0,29.283333333333335,1.0,53.52004195804197,observed_start_proxy,0.010483565137869667,53.53,0.03609137529124026,0.0014265734265705987,-0.04048484848472356,-0.03604195804197019,0.0014265734265705987,-0.04048484848472356,-0.00820512820500028,-0.00962237762224305,-0.017407925407795233,-0.03170862470848945,-0.03486713286700081,-0.003039627039590563,-0.0018423243422984361,-0.001565928324550884,7.609057606536472e-05,0.00203589743588779,-0.0043771561771805525,0.003944055944054267,-0.002990675990682945,8.734956941895507e-05,,,observed_window_only,True,1.0,0.0,0.8448275862068966,-0.020798285379846355,0.18734265734270394,-0.269746989118196,-0.2292780055196586,0.01114092851223715,0.28088791763043314,16.910408275051086,-12.822726842169159,0.20242424242361778,-0.18734265734270394,0.5,5.5,False,0.020000000000003126,False,False,1744547100.0,1744548857.0,-0.04815850815785439,-0.055244755244068244,-0.09417249417182916,-0.16567599067530026,-0.18146853146785702,-0.1982517482518631,True,
8bfd1936ad81de,泸206H10,2,15,泸206H10,3,泸206H10|2|15|20191,泸206H10|2|泸206H10|3,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-15段压裂施工-1、3、4、5井压力监测.xlsx,2井第15段压裂期间-1、3、4、5井压力,2,泸206H10,2,15,3,header,3#井口套压,MPa_context_assumed,b95b1e6d9caffb,False,28d2f1ecbfe5cd7fc018a22e14e4132652579fc28fcbcf093990fbada27fd28e,0,0,7,False,0,4427,1.0,89.98333333333333,974.0,60.50715617715635,observed_start_proxy,0.0032290241697704165,60.78,0.23216200466200043,0.2610955710953675,-0.008135198135370558,0.24462004661990733,0.2610955710953675,-0.008135198135370558,-0.007030303030298057,-0.003875291375287302,0.01916083916083977,0.10952760107790915,0.19139264705178505,-0.0006547013357933338,-0.00021724081802626535,0.0024716303142025583,0.006613583610178377,0.008243609368011204,-0.0019638694638750565,0.003481351981356437,-0.003892773892759038,0.0001012161426664885,65.5,,observed_window_only,False,0.7279125764030376,1.0,0.0,0.05850271441719651,0.0611948051945735,-0.08420005233209037,0.9579755945140789,2.563349241358257,2.6475492936903473,121.4174042006758,-135.76636425449973,0.035041040187495,0.9388051948054265,0.5,5.5,False,0.10000000000000142,False,False,1744547100.0,1744552499.0,0.004759155602059404,0.01834885413866563,0.11757323226059334,0.5068133322874361,0.8594336764004249,1.159667662340809,True,
1fa4eefa59e53f,泸206H10,2,15,泸206H10,4,泸206H10|2|15|20191,泸206H10|2|泸206H10|4,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-15段压裂施工-1、3、4、5井压力监测.xlsx,2井第15段压裂期间-1、3、4、5井压力,3,泸206H10,2,15,4,header,4#井口套压,MPa_context_assumed,ba465b48d2c495,False,490403ed9e78da88a767378ad9be374870baf0774f64d685a93bd897b79ec853,0,0,8,True,561,1554,1.0,25.883333333333333,1.0,64.55000000000004,observed_start_proxy,0.0,64.56,0.010923310023222398,0.0012867132866887232,-0.011678321678175507,-1.3986014039346628e-05,0.0012867132866887232,-0.011678321678175507,1.4210854715202004e-13,-0.0033333333331917467,-0.01011655011640755,-0.006789044288904478,0.0005268065269461892,3.6540365776676316e-14,-0.00018622403234659434,0.00017492479030918067,0.001509003816654251,0.003776223776220176,-0.003357808857804656,0.002665501165501638,-0.004029137529129656,8.73266116677834e-05,,,observed_window_only,True,1.0,0.9411764705882353,0.47058823529411764,-0.003055669378804595,0.006503496503640349,-0.02410049351952175,0.022638183279179797,0.19529024393867098,0.21939073745819274,8.928721806204639,-13.49654188193426,0.058391608390877536,-6.993007019673314e-05,0.5,5.5,False,0.01999999999999602,False,False,1744547100.0,1744548653.0,7.105427357601002e-13,-0.016666666665958733,-0.05058275058203775,-0.03394522144452239,0.0026340326347309454,-0.006993006993383233,True,
94d7e8e0367d20,泸206H10,2,15,泸206H10,5,泸206H10|2|15|20191,泸206H10|2|泸206H10|5,True,True,observed_file_window,,,E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-15段压裂施工-1、3、4、5井压力监测.xlsx,2井第15段压裂期间-1、3、4、5井压力,4,泸206H10,2,15,5,header,5#井口套压,MPa_context_assumed,983a7e879446d3,False,c1652c473daf44142203142b286490e311cc31f40db2f34c4ca382e88176a08b,0,0,9,True,561,2080,1.0,34.65,1.0,50.06326573426575,observed_start_proxy,0.0,50.07,0.004265034964965153,0.001419580419579347,-0.004104895104767081,-0.003265734265724518,0.001419580419579347,-0.004104895104767081,-0.0012960372959149424,-0.003265734265603726,0.0005337995339225179,-0.003265734265603726,-0.003265734265603726,-0.001018981018941395,-0.0004902562177925655,1.222307104692457e-05,-1.5915322587856628e-14,0.001146853146852676,-0.0019314685314661517,0.0028193473193482525,-0.0018648018647979825,1.8865078125123625e-05,,,observed_window_only,True,1.0,0.0,0.15942028985507245,-0.0026786008603066165,0.023426573426519326,-0.08493688973256196,0.0021176470588796814,-2.7573296383461602e-12,0.08493688972980462,16.924859134620984,-11.194615384592078,0.020524475523835406,-0.023426573426519326,0.5,5.5,False,0.020000000000003126,False,False,1744547100.0,1744549179.0,-0.013578088577471448,-0.023426573425915365,-0.004428904428284146,-0.023426573425915365,-0.023426573425915365,-0.02342657342659038,True,
