method,k,cluster,n,platforms,stage_groups
Balanced_feature_KMeans,2,0,1825,28,1077
Balanced_feature_KMeans,2,1,1355,19,485
Balanced_feature_KMeans,3,0,1158,22,478
Balanced_feature_KMeans,3,1,1587,28,1019
Balanced_feature_KMeans,3,2,435,18,278
Balanced_feature_KMeans,4,0,1027,19,424
Balanced_feature_KMeans,4,1,598,26,482
Balanced_feature_KMeans,4,2,368,17,242
Balanced_feature_KMeans,4,3,1187,28,782
Balanced_feature_KMeans,5,0,555,28,465
Balanced_feature_KMeans,5,1,936,18,392
Balanced_feature_KMeans,5,2,526,26,424
Balanced_feature_KMeans,5,3,364,16,238
Balanced_feature_KMeans,5,4,799,26,530
Balanced_feature_KMeans,6,0,790,26,525
Balanced_feature_KMeans,6,1,817,17,362
Balanced_feature_KMeans,6,2,113,14,95
Balanced_feature_KMeans,6,3,396,16,261
Balanced_feature_KMeans,6,4,513,26,415
Balanced_feature_KMeans,6,5,551,28,463
Balanced_feature_Ward,2,0,1848,28,1073
Balanced_feature_Ward,2,1,1332,21,488
Balanced_feature_Ward,3,0,1848,28,1073
Balanced_feature_Ward,3,1,443,20,289
Balanced_feature_Ward,3,2,889,17,376
Balanced_feature_Ward,4,0,1098,27,703
Balanced_feature_Ward,4,1,443,20,289
Balanced_feature_Ward,4,2,889,17,376
Balanced_feature_Ward,4,3,750,28,626
Balanced_feature_Ward,5,0,1098,27,703
Balanced_feature_Ward,5,1,443,20,289
Balanced_feature_Ward,5,2,889,17,376
Balanced_feature_Ward,5,3,425,28,370
Balanced_feature_Ward,5,4,325,25,293
Balanced_feature_Ward,6,0,1098,27,703
Balanced_feature_Ward,6,1,316,16,216
Balanced_feature_Ward,6,2,889,17,376
Balanced_feature_Ward,6,3,425,28,370
Balanced_feature_Ward,6,4,325,25,293
Balanced_feature_Ward,6,5,127,16,108
Shape_KMeans,2,0,1937,28,1090
Shape_KMeans,2,1,1243,21,465
Shape_KMeans,3,0,1787,28,1055
Shape_KMeans,3,1,451,18,284
Shape_KMeans,3,2,942,21,425
Shape_KMeans,4,0,448,18,283
Shape_KMeans,4,1,1794,28,1058
Shape_KMeans,4,2,933,21,422
Shape_KMeans,4,3,5,4,5
Shape_KMeans,5,0,955,28,681
Shape_KMeans,5,1,875,19,390
Shape_KMeans,5,2,420,18,275
Shape_KMeans,5,3,5,4,5
Shape_KMeans,5,4,925,28,638
Shape_KMeans,6,0,342,18,222
Shape_KMeans,6,1,907,28,632
Shape_KMeans,6,2,298,15,207
Shape_KMeans,6,3,694,18,348
Shape_KMeans,6,4,5,4,5
Shape_KMeans,6,5,934,28,672
Hybrid_DTW_medoid,2,0,1301,21,475
Hybrid_DTW_medoid,2,1,1879,28,1083
Hybrid_DTW_medoid,3,0,898,19,400
Hybrid_DTW_medoid,3,1,446,17,279
Hybrid_DTW_medoid,3,2,1836,28,1077
Hybrid_DTW_medoid,4,0,446,17,279
Hybrid_DTW_medoid,4,1,1002,28,715
Hybrid_DTW_medoid,4,2,846,17,376
Hybrid_DTW_medoid,4,3,886,28,610
Hybrid_DTW_medoid,5,0,1048,28,735
Hybrid_DTW_medoid,5,1,830,28,584
Hybrid_DTW_medoid,5,2,315,15,212
Hybrid_DTW_medoid,5,3,622,16,320
Hybrid_DTW_medoid,5,4,365,18,231
Hybrid_DTW_medoid,6,0,440,17,269
Hybrid_DTW_medoid,6,1,368,16,245
Hybrid_DTW_medoid,6,2,518,18,277
Hybrid_DTW_medoid,6,3,608,27,482
Hybrid_DTW_medoid,6,4,679,28,544
Hybrid_DTW_medoid,6,5,567,27,418
