k,replicate,ari,n
3,0,0.9949930288614882,2571
3,1,0.9669429046089714,2472
3,2,0.9986230486725369,2619
3,3,0.9913374177093227,2561
3,4,0.9924492543601303,2606
3,5,0.9953780845146167,2589
3,6,0.9861323334151018,2619
3,7,0.9490312797843082,2596
3,8,0.9865645772840875,2580
3,9,0.9992006280736471,2633
3,10,0.9938158590342154,2443
3,11,0.9469194745710697,2612
3,12,0.9895537949128257,2433
3,13,0.9819840119595704,2593
3,14,0.9972274545360167,2591
3,15,0.993202766802049,2636
3,16,0.9176751457504222,2618
3,17,0.9436229151840061,2586
3,18,0.9912643888568022,2609
3,19,0.9939886364835158,2444
3,20,0.8981459022276327,2595
3,21,0.941689857962266,2635
3,22,0.9461153860947128,2638
3,23,0.9479213489011994,2609
3,24,0.989832747191917,2591
3,25,0.9617704945933485,2630
3,26,0.9724321860109006,2468
3,27,0.9639538432486455,2624
3,28,0.9881025195189029,2484
3,29,0.963612849820976,2602
3,30,0.9530442433069289,2574
3,31,0.9956078314543566,2587
3,32,0.9762053829929369,2564
3,33,0.9203404280687077,2647
3,34,0.9519609121455826,2584
3,35,0.9856635020352462,2580
3,36,0.9011113307939784,2621
3,37,0.986178418546043,2571
3,38,0.9970311649614726,2627
3,39,0.8746983143269745,2588
3,40,0.9936841805008577,2603
3,41,0.9947926663436121,2598
3,42,0.9932284881109659,2619
3,43,0.985166718704106,2460
3,44,0.9958224713123901,2577
3,45,0.9419084669038532,2597
3,46,0.9969986082347552,2581
3,47,0.9183765049073656,2604
3,48,0.9970258376378709,2621
3,49,0.9484845620131367,2632
3,50,0.9845490619091839,2460
3,51,0.9178885334172484,2454
3,52,0.9934354612399731,2585
3,53,0.9921196872430336,2617
3,54,0.9512422265077436,2579
3,55,0.9962026236846291,2583
3,56,0.997565954753603,2587
3,57,0.9156249947151099,2615
3,58,0.9975759263166676,2590
3,59,0.9477981344964251,2609
3,60,0.9936952166419946,2490
3,61,0.9141661031058923,2605
3,62,0.9848971261445454,2597
3,63,0.9867316233834161,2583
3,64,0.99580220784419,2578
3,65,0.9867407540195463,2602
3,66,0.9458889890860359,2595
3,67,0.9983745247080777,2624
3,68,0.9806696544183278,2597
3,69,0.9953882139442779,2599
3,70,0.9357794405588108,2624
3,71,0.9855047651240474,2588
3,72,0.8965196152642291,2602
3,73,0.9929041757364054,2614
3,74,0.9779352375616769,2615
3,75,0.9923110299020531,2605
3,76,0.9899874165034739,2632
3,77,0.9923116593231047,2574
3,78,0.9950554484155514,2608
3,79,0.9962029109143309,2590
3,80,0.9894431225582063,2643
3,81,0.9983935162294794,2601
3,82,0.9161366226273587,2616
3,83,0.995094580731214,2622
3,84,0.9901388910713577,2621
3,85,0.9518568056731713,2628
3,86,0.9964726850681426,2634
3,87,0.9391004615105301,2605
3,88,0.9727978846416591,2599
3,89,0.9739115840186208,2483
3,90,0.984486298458386,2576
3,91,0.992211276943995,2581
3,92,0.9978017815393567,2601
3,93,0.9942728576534297,2622
3,94,0.9420660303882387,2639
3,95,0.9438323843268037,2599
3,96,0.998613636255075,2586
3,97,0.991684605289948,2446
