test,n,ari
去除低频记录,2182,0.9214459228676608
去除操作突变标记,3158,0.9609172726322394
去除重复记录冲突,2956,0.934626728073402
去除局部片段,3126,0.9778653689232734
仅日期可靠施工窗口,789,0.7677619238245763
仅已知源井和段号,2720,0.994142811370259
留一平台_泸201H5,2885,0.9866785775543998
留一平台_泸203H10,3158,0.99274930243805
留一平台_泸203H11,3152,0.9788979398356167
留一平台_泸203H153,3159,0.9854083235974475
留一平台_泸203H64,2921,0.9814757617876986
留一平台_泸203H66,3089,0.9440938353085548
留一平台_泸203H76,3018,0.9785979035788839
留一平台_泸203H9,3127,0.9803668642572917
留一平台_泸206H10,3132,0.9807121386580204
留一平台_泸206H8,3003,0.976847904129069
留一平台_泸208H1,3104,0.9649711969552865
留一平台_泸208H2,2985,0.9797565257415217
留一平台_阳101H2,2795,0.9943136229509203
留一平台_阳101H25,3153,0.9946313914384296
留一平台_阳101H26,2983,0.9940009325965737
留一平台_阳101H31,2853,0.9024949825313034
留一平台_阳101H32,2942,0.9734716045599012
留一平台_阳101H33,3153,0.9927431296254462
留一平台_阳101H34,3073,0.977435739565753
留一平台_阳101H35,2948,0.9565940345363438
留一平台_阳101H51,3035,0.9521514389079125
留一平台_阳101H75,3159,0.9789082291945509
形态权重_0.4,3180,0.6544564524478425
形态权重_0.5,3180,0.7923108049534844
形态权重_0.7,3180,0.8760434089472341
