file,channel_count,final_status,related_unique_samples,reason
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\新建文件夹_4井_4井第11段压裂期间-2.、3井压力.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\新建文件夹_4井_4井第7段压裂期间-3井压力.xlsx,1,已用于形态聚类或重复合并,1,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\新建文件夹_4井_4井第9段压裂期间-3井压力.xlsx,1,已用于形态聚类或重复合并,1,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-10段压裂施工-3、5井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-15段压裂施工-1、3、4、5井压力监测.xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-7段压裂施工-3、4井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-2-8段压裂施工-3、4井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-10段压裂施工-1、2、4、5井压力监测.xlsx,3,已用于形态聚类或重复合并,3,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-11段压裂施工-1、2、4、5井压力监测.xlsx,3,已用于形态聚类或重复合并,3,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-12段压裂施工-1、2、4、5井压力监测.xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-2段压裂施工-2、4井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-3段压裂施工-2、4井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-4段压裂施工-2、4井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-5段压裂施工-2、4井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-7段压裂施工-1、2、4、5井压力监测.xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-3-9段压裂施工-1、2、4、5井压力监测.xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-4-10段压裂施工-2、3井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-4-14段压裂施工-1、2、3、5井压力监测.xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\泸206H10\泸206H10 邻井压力监测\泸206H10-4-8段压裂施工-2、3井压力监测.xlsx,2,已用于形态聚类或重复合并,2,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据-2.xlsx,0,未形成聚类样本,0,阶段统计而非时序: 各施工段统计指标，不能拼为连续压力曲线
E:\压裂窜扰项目\02 规范化\不重要的\自205H1\自205H1 邻井压力监测\自205H1平台5-8井监测数据.xlsx,0,未形成聚类样本,0,阶段统计而非时序: 各施工段统计指标，不能拼为连续压力曲线
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据   叠合图.12.14.xlsx,3,已用于形态聚类或重复合并,3,参与形态聚类候选: observed_file_window；重复或补充片段已合并: 相同事件/通道且压力一致，仅计一个样本
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据.   叠合图12.13(2).xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据.12.12(1).xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据.12.12.xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据.12.13(1).xlsx,4,已用于形态聚类或重复合并,4,参与形态聚类候选: observed_file_window
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\补充来源_常规汇总\2_邻井压力监测\阳101H26平台各井压裂分数据.12.13(2).xlsx,4,已用于形态聚类或重复合并,4,重复或补充片段已合并: 相同事件/通道且压力一致，仅计一个样本
