sample_id,platform_id,source_well,stage_id,monitor_platform,monitor_well,cluster,morphology_type,Balanced_feature_KMeans__2,Balanced_feature_KMeans__3,Balanced_feature_KMeans__4,Balanced_feature_KMeans__5,Balanced_feature_KMeans__6,Balanced_feature_Ward__2,Balanced_feature_Ward__3,Balanced_feature_Ward__4,Balanced_feature_Ward__5,Balanced_feature_Ward__6,Shape_KMeans__2,Shape_KMeans__3,Shape_KMeans__4,Shape_KMeans__5,Shape_KMeans__6,Hybrid_DTW_medoid__2,Hybrid_DTW_medoid__3,Hybrid_DTW_medoid__4,Hybrid_DTW_medoid__5,Hybrid_DTW_medoid__6
000d87594f00d1,阳101H51,3,26,阳101H51,2,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0046b06fe12699,泸203H64,1,19,泸203H64,4,3,迟缓响应持续上升型,1,2,4,1,6,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
005b693c7fa118,泸201H5,3,18,泸201H5,1,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
005e4f1a5d26a8,泸201H5,1,10,泸201H5,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
005edb3b0c1a72,阳101H35,1,10,阳101H35,2,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,1,6,2,3,2,1,5
00708041741928,泸203H64,5,14,泸203H64,4,1,低幅波动型,2,3,1,2,4,2,3,3,3,3,2,2,1,2,1,1,2,1,5,3
00713f559b2d76,阳101H32,4,8,阳101H32,5,1,低幅波动型,2,3,1,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,2
008d8d8ad779df,阳101H31,3,1,阳101H31,2,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,4,2,5
00a4514ac57a90,泸208H2,7,8,泸208H2,6,2,早期上升趋缓型,1,2,2,3,5,1,1,4,4,4,1,1,2,5,2,2,3,2,1,5
00c2925a3ba81f,阳101H35,3,4,阳101H35,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
00fb4ca4c7c417,泸201H5,3,16,泸201H5,4,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,2,1,5
0105b0c0c812a2,泸203H64,1,18,泸203H64,2,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,3,2,5,2,2,3,4,2,6
0136078b1dd1f3,阳101H2,5,15,阳101H2,6,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
01542982b133dc,泸201H5,3,24,泸201H5,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
01596ef8a128e1,泸201H5,3,23,泸201H5,2,1,低幅波动型,2,3,1,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,3
0186ea390bb736,阳101H34,3,23,阳101H34,2,2,早期上升趋缓型,1,2,2,1,6,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
01a84d24bda45e,泸203H76,3,17,泸203H76,1,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,4,1,5
