sample_id,computed_pump_relative_delay_min,date_and_baseline_supported_delay,caution
000d87594f00d1,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0046b06fe12699,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
005b693c7fa118,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
005e4f1a5d26a8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
005edb3b0c1a72,23.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
00708041741928,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
00713f559b2d76,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
008d8d8ad779df,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
00a4514ac57a90,14.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
00c2925a3ba81f,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
00fb4ca4c7c417,19.0,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0105b0c0c812a2,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0136078b1dd1f3,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
01542982b133dc,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
01596ef8a128e1,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0186ea390bb736,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
01a84d24bda45e,9.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
01ba7af482e352,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
01c16ff17711b1,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
01cc963f8701ed,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
01ccc50dfae259,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
021f1226aa000c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
022010542f8270,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0265487417a70a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0269171c2f3beb,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
026cf2a319460c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
029ddcaf104bb6,64.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
02aa35ea21031e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
02df4dc547b70c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
