sample_id,morphology_v3,k5,k6,k7,k8,k9
000d87594f00d1,后期加速上升型,3,4,4,3,9
0046b06fe12699,后期加速上升型,3,5,5,4,8
005b693c7fa118,降压主导型,1,3,2,7,4
005e4f1a5d26a8,涨幅微弱型,5,2,7,2,1
005edb3b0c1a72,稳定缓升型,4,1,3,6,9
00708041741928,涨幅微弱型,1,3,2,7,4
00713f559b2d76,涨幅微弱型,1,3,2,7,4
008d8d8ad779df,后期加速上升型,4,5,5,4,8
00a4514ac57a90,渐进上升型,4,1,3,6,5
00c2925a3ba81f,涨幅微弱型,5,2,7,2,1
00fb4ca4c7c417,稳定缓升型,4,5,5,4,8
0105b0c0c812a2,后期加速上升型,5,2,7,5,7
0136078b1dd1f3,涨幅微弱型,5,2,7,2,1
01542982b133dc,涨幅微弱型,5,2,7,2,1
01596ef8a128e1,涨幅微弱型,1,3,2,7,4
0186ea390bb736,稳定缓升型,2,6,1,8,3
01a84d24bda45e,后期加速上升型,3,4,4,5,7
01ba7af482e352,降压主导型,1,3,2,7,4
01c16ff17711b1,涨幅微弱型,5,2,7,2,1
01cc963f8701ed,快速稳定型,3,4,4,3,2
01ccc50dfae259,后期加速上升型,3,4,4,3,7
021f1226aa000c,冲高回落型,5,4,4,2,2
022010542f8270,渐进上升型,3,4,4,3,9
0265487417a70a,渐进上升型,4,1,3,6,5
0269171c2f3beb,降压主导型,1,3,2,7,4
026cf2a319460c,涨幅微弱型,5,2,7,2,1
029ddcaf104bb6,后期加速上升型,3,4,4,5,7
02aa35ea21031e,涨幅微弱型,5,2,7,2,1
02df4dc547b70c,后期加速上升型,5,2,7,5,7
02df54ce531f12,快速稳定型,3,4,4,3,2
02e16cd7cec036,后期加速上升型,3,4,4,5,7
02eeb67cda39df,渐进上升型,4,1,3,3,9
0301b0503dc63e,渐进上升型,4,1,3,6,5
0313771e18e1cb,稳定缓升型,4,1,6,1,6
0319a720094d4b,涨幅微弱型,5,2,7,5,1
03278152bdb87d,后期加速上升型,3,5,5,4,8
035c48c246a359,涨幅微弱型,5,2,7,2,1
0383d7bf737156,渐进上升型,3,4,4,3,9
039040253f10c4,后期加速上升型,4,5,5,4,8
03adeb22595bf6,先降后升型,3,4,4,5,7
03b6bd18333fe0,稳定缓升型,4,1,3,6,5
03bb47c3df36e6,后期加速上升型,4,1,5,4,5
03bd0cc9ae8743,降压主导型,1,3,2,7,4
03be013afe578a,涨幅微弱型,1,3,2,7,4
03be811339f454,涨幅微弱型,5,2,7,2,1
03c4993e3a3802,稳定缓升型,2,6,1,8,3
03c4d09f38c8c5,冲高回落型,1,3,6,1,2
03c8c4e0ad63d4,降压主导型,1,3,2,7,4
03d064cd9d3399,稳定缓升型,2,1,6,1,6
03e9b9a069b224,涨幅微弱型,5,4,4,5,2
03ea2387352d97,涨幅微弱型,5,2,7,2,1
03f0c4cfe3c762,复杂波动或待判型,5,3,4,5,7
04091f4aecef70,涨幅微弱型,5,2,7,2,1
04147e98bed2d8,后期加速上升型,3,4,4,5,7
0417ed00e351b7,稳定缓升型,2,6,6,1,6
044acecce0871b,后期加速上升型,3,4,4,3,7
0478191a5b4c87,先降后升型,5,4,4,5,7
04a0c7fc508f4d,后期加速上升型,4,5,5,4,8
04a7bc8c037dc8,涨幅微弱型,5,2,7,2,1
04e7bba88fb5f5,后期加速上升型,3,4,4,3,9
